iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -59055.4 0.548612 0 0 3.63965 0 0 -1.51893 0 0 5.58645 0 0 0.65467 0 0 19.3749 0 0 5.55878 0 0 8.14615 0 0 2.32525 0 0 0.6 0 0 0 0
40 -2172.65 0.0207989 40 8 0.338827 40 21 0.132519 40 16 0.707543 40 17 0.15488 40 19 0.212795 40 12 0.820793 40 16 0.0595555 40 17 0.380196 40 16 0.6 0 0 19360 15122
80 -2123.75 0.0127028 40 6 1.21744 40 11 0.810487 40 9 0.20661 40 13 0.0135167 40 24 0.072476 40 12 0.514354 40 5 0.196631 40 13 0.0477997 40 11 0.6 0 0 19360 16116
120 -2096.11 0.0119845 40 5 0.929144 40 3 0.484898 40 8 0.0682358 40 9 0.0268145 40 15 0.109894 40 5 0.463538 40 5 0.0492156 40 8 0.0977243 40 18 0.6 0 0 19360 15933
160 -2135.98 0.0163259 40 6 0.922829 40 2 0.188348 40 8 0.0300812 40 8 0.0130399 40 17 0.0815722 40 13 0.414533 40 8 0.167391 40 11 0.228944 40 11 0.6 0 0 19360 16107
200 -2144.92 0.0136803 40 3 1.18583 40 2 0.594962 40 7 0.174403 40 20 0.024905 40 16 0.0783721 40 17 0.489677 40 7 0.141211 40 13 0.128771 40 11 0.6 0 0 19360 15986
240 -2131.24 0.0137343 40 8 1.12481 40 9 0.914913 40 8 0.158856 40 12 0.015717 40 18 0.0769719 40 7 0.34244 40 5 0.0558455 40 3 0.341524 40 16 0.6 0 0 19360 15733
280 -2133.77 0.0126769 40 7 1.8341 40 11 0.885953 40 4 0.103385 40 12 0.0115331 40 12 0.0680812 40 11 0.218513 40 7 0.104884 40 14 0.121723 40 14 0.6 0 0 19360 15842
320 -2117.84 0.0160057 40 10 1.23161 40 5 1.00438 40 6 0.215997 40 13 0.0397112 40 18 0.0529706 40 11 0.369702 40 9 0.18798 40 12 0.148488 40 15 0.6 0 0 19360 15644
360 -2110.27 0.00978761 40 8 1.1618 40 5 0.452439 40 7 0.179574 40 12 0.056346 40 20 0.0727186 40 15 0.367323 40 7 0.175696 40 9 0.151742 40 9 0.6 0 0 19360 15667
400 -2102.79 0.0095014 40 5 1.31299 40 11 0.4864 40 6 0.138677 40 16 0.023697 40 15 0.0932727 40 7 0.43402 40 6 0.177263 40 12 0.208252 40 8 0.6 0 0 19360 15664
440 -2110.98 0.0161369 40 9 1.13967 40 8 0.826393 40 10 0.237177 40 10 0.0209108 40 20 0.0848317 40 11 0.464837 40 5 0.0737951 40 10 0.652357 40 9 0.6 0 0 19360 15851
480 -2154.19 0.0125209 40 2 1.27067 40 7 0.314538 40 10 0.00931176 40 8 0.0180655 40 12 0.0686315 40 17 0.355135 40 8 0.0951486 40 7 0.286466 40 9 0.6 0 0 19360 15851
