iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -13782.7 0.861608 0 0 3.85595 0 0 2.88016 0 0 1.70479 0 0 0.526159 0 0 0.0176238 0 0 0.292657 0 0 6.41289 0 0 9.70574 0 0 0.6 0 0 0 0
40 -2190.54 0.0213985 40 10 0.119615 40 18 0.771109 40 21 0.250692 40 22 0.450133 40 23 0.121835 40 27 4.16828 40 22 0.413329 40 21 0.883437 40 18 0.6 0 0 19360 13723
80 -2104.24 0.0160937 40 8 0.994626 40 15 0.53062 40 14 0.0294858 40 12 0.033312 40 21 0.0116568 40 19 0.498465 40 10 0.0647697 40 10 0.337555 40 15 0.6 0 0 19360 16573
120 -2143.88 0.0144828 40 10 1.04407 40 10 1.02776 40 7 0.212324 40 11 0.017699 40 16 0.0934906 40 6 0.504732 40 5 0.126909 40 13 0.24282 40 17 0.6 0 0 19360 15911
160 -2129.36 0.0117762 40 10 1.32248 40 8 1.01915 40 12 0.131138 40 11 0.00328297 40 24 0.0780785 40 11 0.438239 40 5 0.149488 40 8 0.408141 40 12 0.6 0 0 19360 15982
200 -2159.98 0.0151671 40 10 1.36801 40 7 0.974875 40 8 0.138531 40 8 0.00778898 40 12 0.0355397 40 12 0.309492 40 6 0.0364744 40 7 0.18388 40 10 0.6 0 0 19360 15922
240 -2100.87 0.00960558 40 7 1.81842 40 7 0.746112 40 9 0.139606 40 15 0.0413403 40 19 0.0691035 40 10 0.326361 40 7 0.12179 40 8 0.286946 40 6 0.6 0 0 19360 15706
280 -2129.38 0.0128583 40 10 0.924116 40 5 0.818729 40 8 0.00455967 40 14 0.0875052 40 19 0.13389 40 13 0.727501 40 6 0.239749 40 6 0.486881 40 9 0.6 0 0 19360 15745
320 -2111.22 0.012484 40 8 1.19962 40 7 0.5088 40 11 0.0688045 40 13 0.0141381 40 21 0.146743 40 4 0.431776 40 9 0.153295 40 11 0.125544 40 9 0.6 0 0 19360 15671
360 -2151.13 0.0128211 40 6 1.08452 40 6 0.764243 40 8 0.0409473 40 7 0.0115842 40 18 0.0564388 40 8 0.508215 40 7 0.150363 40 6 0.394173 40 9 0.6 0 0 19360 15696
400 -2146.19 0.0108033 40 7 1.10063 40 12 0.841947 40 8 0.186673 40 10 0.0169206 40 26 0.118128 40 8 0.428668 40 14 0.234967 40 9 0.295858 40 8 0.6 0 0 19360 15822
440 -2108.68 0.0143046 40 5 1.0594 40 14 0.615726 40 6 0.0513553 40 12 0.014106 40 16 0.0609337 40 6 0.453765 40 5 0.103514 40 13 0.649513 40 9 0.6 0 0 19360 15917
480 -2163.88 0.0152033 40 3 0.86842 40 12 0.440224 40 8 0.183753 40 9 0.0153141 40 16 0.147305 40 8 0.562545 40 4 0.079835 40 14 0.164377 40 15 0.6 0 0 19360 16021
520 -2118.83 0.0121098 40 3 1.21231 40 5 0.52992 40 10 0.110298 40 10 0.128093 40 15 0.0909766 40 10 0.469746 40 1 0.194029 40 13 0.515628 40 9 0.6 0 0 19360 16039
560 -2130.48 0.0152152 40 9 1.06078 40 12 0.832113 40 9 0.0733196 40 12 0.0064952 40 18 0.0663159 40 12 0.530876 40 4 0.0725433 40 14 0.123819 40 9 0.6 0 0 19360 15981
600 -2149.16 0.0171168 40 5 1.01747 40 4 0.327223 40 2 0.0571264 40 6 0.0163741 40 26 0.0318767 40 12 0.359895 40 6 0.128277 40 8 0.274199 40 12 0.6 0 0 19360 15978
640 -2139.53 0.0105918 40 10 1.018 40 10 0.456134 40 10 0.163791 40 17 0.0231529 40 15 0.131897 40 12 0.60924 40 9 0.161963 40 10 0.130122 40 9 0.6 0 0 19360 15822
680 -2135.05 0.0106885 40 10 0.812322 40 3 0.365127 40 7 0.238946 40 9 0.0686848 40 17 0.0751993 40 10 0.490067 40 4 0.235318 40 10 0.848809 40 15 0.6 0 0 19360 15842
720 -2109.52 0.0105442 40 6 1.16753 40 8 0.242243 40 7 0.125053 40 4 0.0403387 40 14 0.100622 40 11 0.372633 40 6 0.126783 40 9 0.188147 40 7 0.6 0 0 19360 15783
760 -2112.7 0.0129498 40 8 1.33727 40 6 0.805109 40 8 0.0996656 40 10 0.0130686 40 22 0.0523386 40 9 0.310566 40 10 0.0845903 40 6 0.0597288 40 13 0.6 0 0 19360 15833
800 -2120.68 0.0126909 40 8 1.50746 40 9 0.957678 40 9 0.0573268 40 15 0.00855374 40 21 0.0781313 40 9 0.298904 40 5 0.0717166 40 10 0.392524 40 11 0.6 0 0 19360 15904
840 -2117.38 0.0157571 40 6 1.22233 40 7 0.597824 40 9 0.0735322 40 10 0.00950161 40 19 0.067826 40 10 0.443497 40 7 0.145361 40 10 0.12177 40 11 0.6 0 0 19360 16037
880 -2098.04 0.00929017 40 10 1.35062 40 10 0.501523 40 11 0.183934 40 6 0.0586206 40 16 0.113383 40 11 0.318661 40 3 0.155621 40 3 0.144104 40 20 0.6 0 0 19360 15786
920 -2115.1 0.00885741 40 9 1.20746 40 7 0.553407 40 4 0.195294 40 9 0.0313542 40 16 0.110543 40 6 0.455811 40 9 0.211777 40 11 0.178937 40 12 0.6 0 0 19360 15694
960 -2093.86 0.0108291 40 7 1.10376 40 4 0.461674 40 3 0.172066 40 10 0.101768 40 17 0.18372 40 9 0.430947 40 5 0.265791 40 3 0.180594 40 10 0.6 0 0 19360 15483
1000 -2145.12 0.011486 40 5 1.23127 40 4 0.631319 40 8 0.113526 40 15 0.0161937 40 13 0.120254 40 9 0.512079 40 11 0.126501 40 9 0.235534 40 17 0.6 0 0 19360 15644
1040 -2107 0.0110076 40 9 1.38467 40 4 0.478825 40 8 0.104515 40 12 0.0503515 40 19 0.0767411 40 12 0.34656 40 5 0.128618 40 8 0.470315 40 8 0.6 0 0 19360 15744
