iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -10997.5 0.861608 0 0 3.85595 0 0 2.88016 0 0 1.30568 0 0 0.725368 0 0 0.132755 0 0 0.540978 0 0 2.53237 0 0 4.90817 0 0 0.6 0 0 0 0
40 -2184.01 0.023318 40 10 0.157756 40 17 0.538011 40 15 0.253534 40 17 0.303336 40 20 0.151752 40 24 4.24341 40 17 0.541722 40 18 0.327357 40 17 0.6 0 0 19360 13704
80 -2100.5 0.0118682 40 10 0.659729 40 14 0.345487 40 16 0.128994 40 10 0.134134 40 15 0.14647 40 13 0.56174 40 8 0.243251 40 10 0.319366 40 11 0.6 0 0 19360 16507
120 -2135.51 0.0134637 40 8 0.782297 40 8 0.547966 40 7 0.280006 40 8 0.0583957 40 7 0.157864 40 5 0.690421 40 7 0.115339 40 10 0.36345 40 10 0.6 0 0 19360 16015
160 -2132.07 0.0110113 40 8 0.94822 40 8 0.286307 40 6 0.236739 40 4 0.0312196 40 18 0.119145 40 8 0.599466 40 5 0.19838 40 5 0.628182 40 5 0.6 0 0 19360 15936
200 -2157.39 0.0120162 40 10 1.12904 40 6 1.03865 40 6 0.167995 40 10 0.0754567 40 10 0.162842 40 11 0.477298 40 4 0.0780533 40 5 0.260577 40 6 0.6 0 0 19360 15889
240 -2111.75 0.00972117 40 11 0.943322 40 5 0.402615 40 12 0.198302 40 13 0.108203 40 11 0.162532 40 7 0.50057 40 5 0.19785 40 7 0.406632 40 6 0.6 0 0 19360 15725
280 -2122.76 0.0113453 40 9 1.04072 40 7 0.731449 40 3 0.179845 40 9 0.0933185 40 13 0.119504 40 9 0.566137 40 3 0.178553 40 3 0.315605 40 5 0.6 0 0 19360 15619
320 -2118.03 0.0122049 40 10 1.09391 40 6 0.473522 40 9 0.236594 40 8 0.0364811 40 13 0.0619732 40 4 0.43721 40 5 0.181436 40 8 0.188111 40 9 0.6 0 0 19360 15677
360 -2137.51 0.0112215 40 9 1.09986 40 6 1.08562 40 9 0.181767 40 6 0.108872 40 11 0.177427 40 7 0.581187 40 7 0.172344 40 5 0.366482 40 8 0.6 0 0 19360 15480
