iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -24176.3 0.548612 0 0 3.63965 0 0 -1.51893 0 0 2.36357 0 0 0.809117 0 0 4.4017 0 0 2.35771 0 0 2.85415 0 0 5.40679 0 0 0.6 0 0 0 0
40 -2157.02 0.011973 40 10 0.975901 40 10 0.499425 40 16 0.160761 40 15 0.0659226 40 15 0.128309 40 21 0.572757 40 4 0.206697 40 15 0.093941 40 18 0.6 0 0 19280 15851
80 -2125.37 0.0139655 40 9 0.985486 40 4 0.8096 40 13 0.0867471 40 8 0.0456773 40 9 0.118372 40 6 0.519413 40 3 0.108689 40 9 0.166735 40 16 0.6 0 0 19280 15756
120 -2108.76 0.0098539 40 8 0.77939 40 6 0.327404 40 6 0.148026 40 11 0.105921 40 9 0.166416 40 9 0.528755 40 9 0.205891 40 5 0.102422 40 15 0.6 0 0 19280 15707
160 -2121.79 0.0123111 40 8 1.0357 40 7 0.597152 40 12 0.136193 40 11 0.0610503 40 7 0.121285 40 5 0.475825 40 1 0.159113 40 8 0.100844 40 22 0.6 0 0 19280 15923
200 -2116.21 0.00981381 40 7 0.81238 40 10 0.171174 40 10 0.490584 40 5 0.109819 40 5 0.196665 40 4 0.52149 40 8 0.188859 40 9 0.430536 40 19 0.6 0 0 19280 15721
240 -2153.3 0.0109031 40 3 1.03967 40 11 0.601092 40 7 0.1309 40 14 0.114423 40 16 0.150105 40 5 0.496544 40 4 0.187143 40 8 0.00169146 40 18 0.6 0 0 19280 15814
280 -2151.33 0.0107332 40 5 0.783767 40 6 0.0719127 40 10 0.344917 40 9 0.119323 40 14 0.191087 40 7 0.67281 40 6 0.233894 40 13 0.0561783 40 20 0.6 0 0 19280 15770
320 -2148.6 0.0136192 40 7 0.76425 40 8 0.625783 40 10 0.255868 40 12 0.130798 40 6 0.0835181 40 8 0.505113 40 9 0.241173 40 3 0.432363 40 22 0.6 0 0 19280 15843
360 -2160.72 0.0137659 40 5 0.906434 40 13 0.430198 40 9 0.239668 40 9 0.109185 40 8 0.0849533 40 10 0.679952 40 6 0.172042 40 8 0.0653592 40 14 0.6 0 0 19280 16033
400 -2129.51 0.0110015 40 7 0.979704 40 4 0.477733 40 3 0.231217 40 6 0.0949517 40 12 0.103097 40 7 0.426922 40 7 0.197415 40 11 0.0372344 40 17 0.6 0 0 19280 15915
440 -2136.83 0.0131191 40 7 0.992685 40 4 0.481719 40 7 0.134266 40 9 0.033445 40 12 0.14378 40 13 0.374223 40 6 0.103893 40 9 0.130853 40 14 0.6 0 0 19280 15823
480 -2121.04 0.0118128 40 6 0.876245 40 7 0.852564 40 9 0.172357 40 9 0.110198 40 10 0.1414 40 14 0.578408 40 5 0.219007 40 6 0.154285 40 11 0.6 0 0 19280 15786
520 -2112.22 0.0131684 40 8 0.985799 40 8 0.541585 40 7 0.123349 40 9 0.154616 40 14 0.154809 40 9 0.528666 40 8 0.0971101 40 7 0.123475 40 18 0.6 0 0 19280 15680
560 -2121.23 0.0119549 40 8 0.930376 40 5 0.869104 40 8 0.374276 40 6 0.0795207 40 14 0.145229 40 8 0.601741 40 4 0.115471 40 6 0.00969481 40 15 0.6 0 0 19280 15823
600 -2122.11 0.0115562 40 6 1.08925 40 6 0.58978 40 5 0.260383 40 12 0.163874 40 10 0.129993 40 6 0.466366 40 9 0.190956 40 2 0.0374147 40 16 0.6 0 0 19280 15768
