iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -9982.1 0.861608 0 0 3.85595 0 0 2.88016 0 0 1.30568 0 0 0.725368 0 0 0.132755 0 0 0.540978 0 0 2.53237 0 0 9.70574 0 0 0.6 0 0 0 0
40 -1726.18 0.01661 40 12 0.478027 40 12 0.42463 40 10 0.190315 40 16 0.116727 40 12 0.28596 40 17 1.09262 40 18 0.30506 40 13 0.529304 40 16 0.6 0 0 15480 11904
80 -1701.26 0.00970393 40 7 0.758104 40 7 0.597531 40 8 0.189667 40 12 0.100354 40 7 0.213194 40 7 0.747684 40 5 0.247667 40 9 0.174179 40 12 0.6 0 0 15480 12832
120 -1677.28 0.00732493 40 10 1.00007 40 6 0.646286 40 9 0.119595 40 6 0.0622657 40 10 0.219335 40 2 0.623233 40 8 0.159386 40 5 0.220885 40 6 0.6 0 0 15480 12422
160 -1703.82 0.0123043 40 7 0.835516 40 7 0.486419 40 7 0.265926 40 11 0.0871888 40 10 0.175294 40 14 0.546319 40 6 0.121679 40 9 0.260432 40 7 0.6 0 0 15480 12567
200 -1727.7 0.0115937 40 9 0.923099 40 10 0.586704 40 8 0.25647 40 14 0.107276 40 9 0.18174 40 6 0.595513 40 6 0.225388 40 14 0.478833 40 17 0.6 0 0 15480 12587
240 -1714.85 0.0115898 40 7 0.963442 40 8 0.181596 40 7 0.170924 40 6 0.0810465 40 11 0.125089 40 10 0.468538 40 5 0.256061 40 7 0.626354 40 17 0.6 0 0 15480 12468
280 -1705.03 0.00851699 40 11 1.23526 40 11 1.10626 40 8 0.30492 40 10 0.106074 40 17 0.143892 40 7 0.591284 40 8 0.198574 40 15 0.180427 40 10 0.6 0 0 15480 12707
320 -1730.73 0.0165197 40 6 0.647924 40 8 0.659595 40 12 0.207259 40 7 0.107834 40 5 0.121144 40 7 0.78473 40 8 0.337567 40 9 0.217771 40 11 0.6 0 0 15480 12532
360 -1709.79 0.0105974 40 12 1.59352 40 8 0.642793 40 7 0.172672 40 8 0.0508353 40 12 0.127 40 12 0.410333 40 5 0.108823 40 8 0.213516 40 13 0.6 0 0 15480 12690
400 -1698.54 0.00949904 40 13 0.926407 40 5 0.378665 40 12 0.20646 40 6 0.0971379 40 15 0.22451 40 6 0.473879 40 6 0.322269 40 12 0.11836 40 9 0.6 0 0 15480 12578
440 -1715.45 0.00940574 40 6 1.09826 40 10 0.668971 40 7 0.292588 40 9 0.123043 40 12 0.143737 40 6 0.455489 40 5 0.218184 40 8 0.464026 40 12 0.6 0 0 15480 12509
480 -1703.8 0.00961432 40 5 1.1917 40 5 0.50673 40 13 0.201201 40 1 0.0518608 40 12 0.12618 40 6 0.340137 40 8 0.143448 40 9 0.388389 40 19 0.6 0 0 15480 12402
520 -1735.15 0.0170935 40 10 0.796106 40 11 0.311349 40 7 0.0797833 40 14 0.175809 40 12 0.154691 40 11 0.422895 40 4 0.120243 40 8 0.0787854 40 16 0.6 0 0 15480 12624
560 -1715.15 0.0131534 40 8 1.00811 40 8 0.444672 40 8 0.0890131 40 10 0.0651417 40 12 0.117783 40 9 0.468732 40 4 0.200298 40 11 0.0735535 40 13 0.6 0 0 15480 12762
600 -1675.02 0.00822025 40 15 1.01353 40 7 0.667569 40 14 0.295127 40 5 0.112805 40 9 0.194039 40 7 0.733549 40 6 0.279495 40 12 0.163013 40 14 0.6 0 0 15480 12615
640 -1715.52 0.00949078 40 9 0.731901 40 9 0.555885 40 4 0.200611 40 6 0.0473843 40 15 0.258428 40 3 0.800954 40 7 0.190793 40 4 0.380364 40 3 0.6 0 0 15480 12409
680 -1733.81 0.0125732 40 8 0.953489 40 8 0.387094 40 7 0.249906 40 7 0.0504164 40 18 0.137087 40 8 0.537878 40 7 0.0995429 40 7 0.273978 40 14 0.6 0 0 15480 12743
720 -1701.44 0.00755682 40 7 1.10321 40 8 0.772061 40 10 0.120267 40 7 0.0872147 40 15 0.206704 40 6 0.513136 40 7 0.206062 40 13 0.643471 40 11 0.6 0 0 15480 12638
760 -1695.18 0.010251 40 14 0.858527 40 10 0.447519 40 11 0.292469 40 11 0.1486 40 14 0.242806 40 10 0.548773 40 8 0.204264 40 9 0.277062 40 11 0.6 0 0 15480 12615
800 -1711.82 0.00804981 40 7 0.866642 40 6 0.277611 40 7 0.22808 40 8 0.124308 40 12 0.209293 40 5 0.600173 40 10 0.329106 40 6 0.150192 40 12 0.6 0 0 15480 12234
840 -1716.29 0.0143899 40 14 0.892821 40 7 0.548437 40 5 0.225893 40 14 0.0990285 40 12 0.08801 40 7 0.57494 40 6 0.213352 40 9 0.32427 40 10 0.6 0 0 15480 12678
880 -1730.31 0.0144687 40 6 0.717502 40 10 0.131059 40 8 0.109163 40 12 0.0565669 40 17 0.207312 40 7 0.52206 40 5 0.0842383 40 9 0.190426 40 11 0.6 0 0 15480 12724
920 -1726.04 0.0113706 40 11 0.886988 40 8 0.461557 40 4 0.405886 40 10 0.0549242 40 11 0.149663 40 7 0.442812 40 6 0.219183 40 10 0.515884 40 14 0.6 0 0 15480 12714
960 -1714.16 0.010574 40 9 0.615774 40 10 0.171563 40 11 0.089706 40 13 0.0452773 40 18 0.18386 40 6 0.72538 40 6 0.280935 40 5 0.365698 40 9 0.6 0 0 15480 12706
1000 -1713.81 0.00872891 40 8 0.800224 40 6 0.363657 40 8 0.218857 40 11 0.162199 40 14 0.160802 40 4 0.752083 40 9 0.23788 40 5 0.560514 40 12 0.6 0 0 15480 12631
1040 -1723.04 0.0121635 40 14 0.533598 40 4 0.401312 40 5 0.400098 40 8 0.105298 40 13 0.232237 40 6 0.925694 40 3 0.388727 40 5 0.822611 40 13 0.6 0 0 15480 12547
1080 -1695.92 0.0105446 40 6 0.966557 40 11 0.81546 40 9 0.127095 40 11 0.0662202 40 10 0.182551 40 14 0.639494 40 5 0.227974 40 7 0.0914296 40 12 0.6 0 0 15480 12619
1120 -1717.85 0.015207 40 9 1.16213 40 10 0.503018 40 10 0.150429 40 12 0.0610198 40 15 0.06229 40 13 0.397371 40 3 0.178243 40 8 0.256671 40 13 0.6 0 0 15480 12609
