iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -6161.83 0.861608 0 0 3.85595 0 0 2.88016 0 0 1.30568 0 0 0.725368 0 0 0.132755 0 0 0.540978 0 0 2.53237 0 0 9.70574 0 0 0.6 0 0 0 0
40 -1500.11 0.02007 40 12 1.10512 40 10 0.675249 40 10 0.196217 40 11 0.108761 40 13 0.175843 40 13 0.573258 40 8 0.273192 40 16 0.212527 40 16 0.6 0 0 13760 11151
80 -1499.87 0.0181944 40 8 1.08086 40 5 0.341689 40 8 0.0907278 40 13 0.191861 40 9 0.117069 40 15 0.330657 40 9 0.373089 40 10 0.346665 40 10 0.6 0 0 13760 11239
120 -1518.07 0.0213704 40 9 1.20909 40 7 0.648696 40 10 0.343543 40 7 0.090144 40 14 0.0651826 40 14 0.604227 40 7 0.241851 40 7 0.284847 40 8 0.6 0 0 13760 11333
160 -1527.54 0.0209882 40 7 0.895759 40 9 0.393727 40 11 0.612855 40 7 0.211211 40 17 0.137371 40 15 0.394984 40 15 0.356606 40 12 0.102159 40 13 0.6 0 0 13760 11487
200 -1516.73 0.0227456 40 10 1.04293 40 9 0.455824 40 7 0.186132 40 7 0.125211 40 17 0.145405 40 7 0.551988 40 6 0.306005 40 10 0.573624 40 11 0.6 0 0 13760 11354
240 -1516.15 0.0213898 40 7 0.999403 40 10 0.729455 40 9 0.489739 40 8 0.0654199 40 16 0.0850645 40 6 0.381979 40 8 0.320753 40 6 0.542894 40 11 0.6 0 0 13760 11213
280 -1491.76 0.0181661 40 9 1.1018 40 8 0.575944 40 9 0.39112 40 7 0.189064 40 6 0.106672 40 12 0.527009 40 4 0.290632 40 11 0.228093 40 16 0.6 0 0 13760 11327
320 -1505.85 0.0232131 40 11 1.18655 40 8 0.778745 40 9 0.14769 40 9 0.117975 40 8 0.0832844 40 16 0.501436 40 7 0.310933 40 12 0.474687 40 12 0.6 0 0 13760 11372
360 -1528.36 0.0177966 40 8 1.21596 40 15 0.892954 40 8 0.492332 40 8 0.246893 40 17 0.135372 40 16 0.612563 40 7 0.412349 40 8 0.115985 40 14 0.6 0 0 13760 11412
