iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2418.24 0.00283162 0 0 2.87711 0 0 2.98496 0 0 0.80065 0 0 3.52547 0 0 0.579276 0 0 1.51011 0 0 4.72392 0 0 5.48819 0 0 0.6 0 0 0 0
40 -1403.66 0.0162818 40 16 2.32295 40 7 1.01358 40 7 0.298435 40 10 0.112428 40 13 0.09813 40 9 0.313363 40 8 0.214481 40 14 0.51005 40 9 0.6 0 0 13080 10208
80 -1419.04 0.019041 40 9 1.43259 40 9 0.582759 40 11 0.134765 40 10 0.100356 40 9 0.105614 40 9 0.420676 40 9 0.269353 40 16 0.0930862 40 9 0.6 0 0 13080 10571
120 -1418.47 0.0290468 40 5 0.841156 40 14 0.522078 40 8 0.697951 40 15 0.140189 40 8 0.0402249 40 8 0.547566 40 9 0.386699 40 11 0.394567 40 18 0.6 0 0 13080 10740
160 -1418.55 0.0154453 40 6 1.23379 40 11 0.749302 40 8 0.270343 40 11 0.100751 40 13 0.195742 40 10 0.617486 40 8 0.361732 40 6 0.214217 40 12 0.6 0 0 13080 10548
200 -1394.97 0.0172971 40 9 1.85594 40 6 0.637914 40 6 0.192588 40 9 0.155798 40 10 0.103247 40 9 0.280538 40 5 0.146459 40 3 0.366225 40 11 0.6 0 0 13080 10239
240 -1440.5 0.0157933 40 8 1.12762 40 9 0.541093 40 9 0.17454 40 11 0.200836 40 8 0.0873656 40 12 0.657678 40 7 0.409193 40 6 0.0243947 40 20 0.6 0 0 13080 10364
280 -1393.85 0.0190881 40 7 1.38537 40 7 0.865892 40 7 0.19767 40 8 0.0582607 40 13 0.14612 40 8 0.615879 40 6 0.344988 40 12 0.466729 40 15 0.6 0 0 13080 10574
320 -1420.52 0.0169872 40 10 1.57556 40 3 0.894838 40 8 0.35534 40 8 0.118712 40 7 0.13542 40 5 0.560993 40 3 0.28087 40 12 0.664363 40 11 0.6 0 0 13080 10191
360 -1417.56 0.0211523 40 6 1.36692 40 11 0.823855 40 12 0.449582 40 10 0.0892522 40 16 0.068782 40 9 0.620421 40 9 0.223652 40 9 0.118608 40 8 0.6 0 0 13080 10606
400 -1406.27 0.0162629 40 13 1.43114 40 14 0.739615 40 5 0.100842 40 7 0.0858798 40 11 0.0501558 40 15 0.474434 40 3 0.172053 40 8 0.303118 40 14 0.6 0 0 13080 10547
440 -1408.22 0.0174219 40 11 1.41288 40 1 0.721442 40 2 0.316404 40 6 0.147658 40 10 0.0571922 40 8 0.400679 40 6 0.367237 40 9 0.247118 40 10 0.6 0 0 13080 10330
480 -1415.98 0.0222306 40 7 1.41862 40 12 0.667683 40 2 0.165828 40 11 0.151496 40 6 0.15121 40 11 0.385167 40 6 0.317763 40 7 0.301651 40 12 0.6 0 0 13080 10491
520 -1445.25 0.0231368 40 8 0.884273 40 7 0.353988 40 5 0.307246 40 9 0.100815 40 9 0.0873473 40 11 0.757341 40 9 0.142143 40 6 0.535003 40 10 0.6 0 0 13080 10683
560 -1436.86 0.0199849 40 10 0.826983 40 10 0.221186 40 6 0.619829 40 11 0.105788 40 17 0.102071 40 14 0.533683 40 10 0.249272 40 12 0.29308 40 12 0.6 0 0 13080 10754
600 -1429.64 0.0206874 40 8 0.96465 40 7 0.543289 40 4 0.556392 40 10 0.170681 40 11 0.0773339 40 13 0.455833 40 4 0.367549 40 8 0.220788 40 9 0.6 0 0 13080 10515
640 -1411.77 0.0214145 40 9 1.15594 40 6 0.77401 40 8 0.258449 40 14 0.0388715 40 15 0.0939296 40 17 0.774896 40 6 0.212569 40 12 0.352797 40 15 0.6 0 0 13080 10787
680 -1421.93 0.0227561 40 6 0.764958 40 11 -0.00492543 40 4 0.631947 40 6 0.187506 40 12 0.112592 40 14 0.568732 40 6 0.433339 40 8 0.28486 40 11 0.6 0 0 13080 10718
720 -1411.01 0.0241169 40 10 1.30269 40 12 0.883831 40 8 0.0712562 40 13 0.202784 40 13 0.0590634 40 15 0.622195 40 9 0.218085 40 12 0.314561 40 12 0.6 0 0 13080 10842
760 -1433.15 0.0292642 40 10 1.19739 40 7 0.774326 40 12 0.202827 40 7 0.156831 40 17 0.113553 40 17 0.455488 40 10 0.360542 40 10 0.335547 40 11 0.6 0 0 13080 10601
800 -1423.07 0.0220003 40 10 1.62529 40 7 0.841386 40 10 0.129123 40 10 0.112389 40 11 0.0477381 40 18 0.296967 40 6 0.216848 40 15 0.106229 40 17 0.6 0 0 13080 10784
840 -1428.81 0.0265541 40 6 1.27349 40 8 0.852358 40 7 0.101068 40 5 0.190624 40 15 0.0515668 40 16 0.510238 40 12 0.254044 40 12 0.109964 40 15 0.6 0 0 13080 10597
880 -1406.96 0.0203216 40 14 1.95617 40 10 0.750291 40 8 0.0682141 40 9 0.112317 40 18 0.0701167 40 12 0.211998 40 8 0.282665 40 8 0.298274 40 12 0.6 0 0 13080 10573
920 -1406.8 0.0175411 40 9 1.26703 40 5 0.825978 40 4 0.346821 40 11 0.254947 40 13 0.142477 40 11 0.565682 40 9 0.223056 40 9 0.262433 40 11 0.6 0 0 13080 10556
