iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -11942.7 0.861608 0 0 3.85595 0 0 2.88016 0 0 1.20527 0 0 0.798713 0 0 0.243296 0 0 0.650468 0 0 1.91632 0 0 9.70574 0 0 0.6 0 0 0 0
40 -2227.05 0.0247907 40 8 0.0994984 40 24 0.323279 40 22 1.11593 40 12 0.74735 40 18 0.583174 40 24 3.02036 40 19 0.478572 40 21 0.160479 40 24 0.6 0 0 19280 15924
80 -2163.88 0.0187741 40 6 0.308144 40 10 0.497975 40 17 0.293647 40 12 0.191167 40 17 0.224143 40 12 1.23878 40 9 0.588333 40 13 0.580238 40 12 0.6 0 0 19280 16765
120 -2146.51 0.0128792 40 8 0.812264 40 9 0.43556 40 11 0.281244 40 11 0.122051 40 8 0.115185 40 4 0.439302 40 8 0.178351 40 5 0.264841 40 13 0.6 0 0 19280 16212
160 -2140.17 0.013232 40 9 0.691757 40 4 0.400769 40 7 0.35206 40 6 0.131831 40 7 0.187256 40 7 0.636451 40 6 0.232017 40 8 0.211614 40 4 0.6 0 0 19280 15864
200 -2115.95 0.0124894 40 11 0.916775 40 6 1.16982 40 4 0.308219 40 5 0.115506 40 12 0.139082 40 6 0.574242 40 7 0.220806 40 8 0.412092 40 11 0.6 0 0 19280 15759
240 -2125.82 0.00943752 40 11 0.844693 40 8 0.328876 40 11 0.268883 40 5 0.123569 40 11 0.188101 40 11 0.499397 40 3 0.260865 40 10 0.0795259 40 7 0.6 0 0 19280 15353
280 -2139.52 0.00879813 40 8 0.705495 40 4 0.529456 40 6 0.393074 40 11 0.176363 40 6 0.325567 40 5 0.990273 40 9 0.410603 40 9 0.0663359 40 16 0.6 0 0 19280 15501
320 -2120.99 0.0128933 40 6 0.885977 40 7 0.701898 40 4 0.479211 40 8 0.0911406 40 9 0.217486 40 7 0.515875 40 5 0.274292 40 4 0.268709 40 12 0.6 0 0 19280 15728
360 -2132.68 0.0117352 40 11 0.769871 40 7 0.225614 40 12 0.311646 40 8 0.187684 40 9 0.176555 40 8 0.531153 40 7 0.14052 40 11 0.274717 40 14 0.6 0 0 19280 15784
400 -2122.1 0.0114837 40 3 0.848757 40 7 0.598816 40 11 0.23625 40 9 0.0434171 40 7 0.215604 40 7 0.598195 40 6 0.223845 40 5 0.300202 40 14 0.6 0 0 19280 15813
440 -2130.4 0.0082801 40 13 0.852715 40 6 0.693248 40 7 0.407459 40 10 0.121654 40 6 0.200044 40 5 0.841331 40 5 0.354866 40 7 0.158869 40 13 0.6 0 0 19280 15557
480 -2111.05 0.00770892 40 13 0.947242 40 6 0.484133 40 14 0.428291 40 5 0.0652273 40 12 0.201243 40 5 0.486195 40 6 0.197679 40 7 0.208282 40 10 0.6 0 0 19280 15531
520 -2118.58 0.0103904 40 4 0.862868 40 8 0.476791 40 5 0.229158 40 6 0.141282 40 11 0.126609 40 6 0.551689 40 10 0.175135 40 7 0.451764 40 13 0.6 0 0 19280 15530
560 -2119 0.0148891 40 13 0.738609 40 7 0.492002 40 9 0.313674 40 6 0.107952 40 10 0.134873 40 13 0.473207 40 8 0.319865 40 6 0.123095 40 9 0.6 0 0 19280 15786
600 -2138.13 0.0108932 40 10 0.984169 40 7 0.705558 40 8 0.452631 40 8 0.111288 40 11 0.164992 40 9 0.52483 40 7 0.200736 40 12 0.217867 40 12 0.6 0 0 19280 15848
640 -2136.78 0.0118892 40 4 0.900614 40 13 0.659014 40 6 0.361699 40 9 0.114195 40 11 0.174052 40 9 0.609589 40 6 0.245343 40 11 0.25219 40 12 0.6 0 0 19280 15803
680 -2127.92 0.0127038 40 6 0.696968 40 7 0.443805 40 9 0.610808 40 9 0.118867 40 7 0.227886 40 5 0.712063 40 6 0.206838 40 4 0.337071 40 15 0.6 0 0 19280 15797
720 -2166.57 0.0145741 40 6 0.559423 40 12 0.418536 40 9 0.585748 40 5 0.124578 40 10 0.245725 40 9 0.690879 40 5 0.300056 40 10 0.030701 40 18 0.6 0 0 19280 15941
760 -2203.36 0.0145653 40 4 0.634551 40 14 0.505448 40 2 0.329239 40 7 0.136247 40 9 0.240958 40 10 0.784582 40 7 0.254263 40 6 0.393308 40 16 0.6 0 0 19280 16086
