iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -14567.7 0.00283162 0 0 2.87711 0 0 2.98496 0 0 0.641041 0 0 12.4289 0 0 0.335561 0 0 2.28043 0 0 22.3154 0 0 5.48819 0 0 0.6 0 0 0 0
40 -2098.85 0.0145254 40 10 1.08115 40 11 0.7609 40 9 0.214207 40 13 0.0069905 40 17 0.0706274 40 17 0.459332 40 6 0.117088 40 15 0.404941 40 15 0.6 0 0 19360 15921
80 -2137.95 0.0114772 40 8 0.96618 40 5 0.315786 40 8 0.0574765 40 13 0.0408318 40 21 0.0809672 40 13 0.377593 40 7 0.149138 40 18 0.130974 40 9 0.6 0 0 19360 16106
120 -2117.64 0.00897104 40 13 1.2349 40 9 0.852956 40 9 0.103581 40 11 0.00147105 40 13 0.11577 40 9 0.379793 40 5 0.170282 40 8 0.713974 40 6 0.6 0 0 19360 15694
160 -2115.1 0.00951771 40 6 1.12789 40 4 0.559449 40 10 0.27525 40 14 0.0161303 40 17 0.105556 40 10 0.3789 40 7 0.208361 40 7 0.192692 40 13 0.6 0 0 19360 15382
200 -2155.81 0.0147882 40 8 1.41229 40 8 0.508901 40 10 0.0934407 40 8 0.0277371 40 22 0.0369022 40 7 0.263126 40 3 0.081556 40 5 0.194984 40 10 0.6 0 0 19360 15886
240 -2130.36 0.0165362 40 3 1.11831 40 7 0.799075 40 8 0.0260578 40 8 0.0250786 40 23 0.067195 40 11 0.331307 40 5 0.0563663 40 12 0.19662 40 7 0.6 0 0 19360 15901
280 -2134.21 0.00920987 40 10 1.18256 40 8 0.572192 40 12 0.0931991 40 18 0.0606156 40 17 0.0971701 40 9 0.596099 40 8 0.058857 40 13 0.290792 40 13 0.6 0 0 19360 15891
320 -2125.77 0.0137539 40 10 1.07005 40 6 0.132716 40 9 0.096496 40 14 0.0099219 40 21 0.069182 40 10 0.43438 40 4 0.0548934 40 6 0.708518 40 10 0.6 0 0 19360 15943
360 -2123.53 0.0135469 40 9 1.09486 40 6 0.654672 40 9 0.149719 40 18 0.0515811 40 16 0.116245 40 10 0.466823 40 9 0.114458 40 13 0.63246 40 15 0.6 0 0 19360 15876
