"hhsize" "nInf" "mean" "q025" "q975" "distribution"
2 1 20.8365 16 26 "Expected"
2 2 11.1635 6 16 "Expected"
3 1 20.0135 14 26 "Expected"
3 2 13.38 8 19.0249999999999 "Expected"
3 3 8.6065 4 13 "Expected"
4 1 21.4875 15 28 "Expected"
4 2 15.5815 9 22 "Expected"
4 3 8.436 4 14 "Expected"
4 4 3.57179356157384 1 7 "Expected"
5 1 13.252 8 19 "Expected"
5 2 13.511 8 19.0249999999999 "Expected"
5 3 9.565 4.975 15 "Expected"
5 4 6.2576288144072 2 11 "Expected"
5 5 3.49616368286445 1 7 "Expected"
