iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -5503.31 0.00283162 0 0 2.87711 0 0 2.98496 0 0 0.80065 0 0 3.52547 0 0 0.579276 0 0 1.51011 0 0 4.72392 0 0 3.29307 0 0 0.6 0 0 0 0
40 -2089.1 0.00754631 40 14 0.809551 40 9 0.498846 40 9 0.391996 40 12 0.0500872 40 15 0.269367 40 15 0.716711 40 7 0.217741 40 11 0.52566 40 14 0.6 0 0 19360 15782
80 -2126.54 0.00969234 40 12 1.02113 40 4 0.46867 40 7 0.278029 40 7 0.0424647 40 15 0.153224 40 6 0.498538 40 6 0.124159 40 11 0.170019 40 9 0.6 0 0 19360 15681
120 -2131.32 0.0098197 40 9 0.969215 40 5 0.642123 40 8 0.0801281 40 3 0.0457163 40 12 0.131659 40 10 0.501443 40 5 0.233596 40 8 0.496288 40 5 0.6 0 0 19360 15595
160 -2115.43 0.00902764 40 6 0.878302 40 5 0.451784 40 11 0.241925 40 14 0.0422458 40 10 0.169256 40 9 0.500265 40 7 0.286153 40 8 0.215457 40 14 0.6 0 0 19360 15589
200 -2144.2 0.0121395 40 9 1.48321 40 7 0.401236 40 10 0.11865 40 4 0.0450525 40 12 0.0700206 40 6 0.273676 40 4 0.119958 40 8 0.312645 40 10 0.6 0 0 19360 15863
240 -2127.28 0.0117499 40 5 1.14515 40 5 0.710548 40 7 0.32754 40 4 0.0953631 40 15 0.0921773 40 8 0.34459 40 5 0.0867468 40 8 0.351479 40 2 0.6 0 0 19360 15770
280 -2124.33 0.00949775 40 11 1.33152 40 7 0.621225 40 10 0.0900897 40 10 0.0840456 40 13 0.0902958 40 7 0.454614 40 10 0.0719089 40 11 0.346941 40 11 0.6 0 0 19360 15609
320 -2125.58 0.0130821 40 13 1.1111 40 7 0.181749 40 9 0.236107 40 12 0.0654737 40 15 0.0901348 40 8 0.407051 40 3 0.0759668 40 6 0.733555 40 6 0.6 0 0 19360 15772
360 -2121.96 0.0128021 40 12 1.07562 40 4 0.600292 40 12 0.175037 40 7 0.0779923 40 7 0.168399 40 7 0.470299 40 10 0.134605 40 10 0.474226 40 14 0.6 0 0 19360 15592
400 -2126.59 0.0120217 40 8 0.931179 40 3 0.602268 40 1 0.190705 40 8 0.0849917 40 10 0.110356 40 3 0.613162 40 7 0.253668 40 12 0.222749 40 10 0.6 0 0 19360 15733
440 -2099.52 0.00792034 40 7 1.13887 40 7 0.309647 40 7 0.104212 40 14 0.0751954 40 11 0.0973703 40 9 0.428701 40 8 0.115964 40 6 0.245385 40 12 0.6 0 0 19360 15634
480 -2110.36 0.00946281 40 9 1.29304 40 8 0.973249 40 8 0.152973 40 12 0.0350728 40 16 0.141144 40 11 0.491147 40 3 0.20611 40 12 0.416176 40 7 0.6 0 0 19360 15562
520 -2138.29 0.00885697 40 8 1.20719 40 8 0.710918 40 8 0.119415 40 10 0.0439121 40 11 0.142656 40 10 0.574607 40 6 0.158775 40 7 0.167913 40 4 0.6 0 0 19360 15792
560 -2166.34 0.014467 40 10 0.840569 40 8 0.57949 40 9 0.274706 40 9 0.179757 40 8 0.128737 40 6 0.697962 40 6 0.194752 40 11 0.251859 40 11 0.6 0 0 19360 15683
600 -2132.02 0.0118751 40 6 1.18035 40 9 0.720843 40 5 0.108046 40 9 0.0949478 40 7 0.114961 40 9 0.434447 40 7 0.120079 40 5 0.341968 40 10 0.6 0 0 19360 15873
640 -2108.15 0.010866 40 5 1.22135 40 7 0.528929 40 9 0.151957 40 8 0.0437959 40 13 0.0951524 40 6 0.427635 40 3 0.244847 40 13 0.242044 40 10 0.6 0 0 19360 15808
680 -2125.21 0.0113273 40 9 0.965662 40 7 0.122776 40 10 0.261236 40 12 0.0984442 40 11 0.170238 40 8 0.567429 40 5 0.142072 40 6 0.38688 40 8 0.6 0 0 19360 15787
720 -2122.14 0.0110424 40 10 0.684073 40 4 0.188935 40 10 0.351748 40 15 0.0550897 40 4 0.160654 40 7 0.640249 40 4 0.219202 40 8 0.268794 40 8 0.6 0 0 19360 15852
760 -2112.18 0.0146507 40 4 0.765748 40 6 0.380487 40 7 0.311774 40 10 0.0956494 40 8 0.151196 40 6 0.631216 40 6 0.218384 40 8 0.388071 40 7 0.6 0 0 19360 15814
800 -2117 0.0135772 40 9 1.04807 40 4 0.404277 40 11 0.248597 40 10 0.0664176 40 8 0.114389 40 9 0.490251 40 3 0.118235 40 11 0.355132 40 6 0.6 0 0 19360 15878
840 -2116.74 0.0154271 40 13 0.867217 40 11 0.366308 40 5 0.2191 40 11 0.116351 40 6 0.135909 40 5 0.419133 40 4 0.215592 40 6 0.270141 40 11 0.6 0 0 19360 15573
880 -2128.51 0.0149491 40 8 1.04019 40 7 0.352385 40 8 0.170519 40 7 0.0697953 40 13 0.089222 40 9 0.346773 40 4 0.191479 40 11 0.203949 40 8 0.6 0 0 19360 15783
920 -2107.94 0.0128884 40 5 1.36057 40 11 0.544 40 12 0.132119 40 14 0.0164133 40 14 0.0535833 40 7 0.504441 40 4 0.10714 40 9 0.399069 40 9 0.6 0 0 19360 16007
960 -2131.38 0.0105824 40 6 1.03631 40 7 0.495877 40 4 0.459858 40 13 0.0413687 40 9 0.140303 40 12 0.376509 40 7 0.152645 40 10 0.195031 40 15 0.6 0 0 19360 15746
1000 -2133.45 0.0136967 40 10 0.960984 40 6 0.647022 40 8 0.222279 40 11 0.0939536 40 16 0.123641 40 8 0.576623 40 6 0.097943 40 9 0.287258 40 10 0.6 0 0 19360 15895
1040 -2137.62 0.0118602 40 5 1.10968 40 8 0.832794 40 9 0.14571 40 11 0.111077 40 17 0.131841 40 10 0.499312 40 2 0.108053 40 10 0.142066 40 6 0.6 0 0 19360 15743
1080 -2107.65 0.0122206 40 7 0.857882 40 5 0.34365 40 10 0.336391 40 12 0.0775339 40 8 0.149304 40 4 0.540981 40 8 0.182368 40 7 0.411146 40 4 0.6 0 0 19360 15630
1120 -2099.49 0.00897609 40 10 0.87976 40 4 0.581345 40 15 0.187281 40 9 0.125538 40 7 0.169406 40 10 0.715855 40 4 0.20256 40 11 0.599823 40 9 0.6 0 0 19360 15793
1160 -2156.76 0.0162248 40 11 0.693241 40 5 0.489567 40 13 0.201684 40 9 0.130801 40 16 0.0677203 40 7 0.600581 40 7 0.0821681 40 12 0.721764 40 13 0.6 0 0 19360 15789
1200 -2146.03 0.0128555 40 4 0.94552 40 10 0.466056 40 15 0.215738 40 9 0.0726927 40 10 0.104097 40 9 0.667581 40 3 0.221613 40 7 0.179698 40 6 0.6 0 0 19360 16058
1240 -2134.61 0.0111639 40 5 1.04925 40 9 0.460424 40 13 0.151435 40 11 0.0377273 40 14 0.129732 40 13 0.472575 40 5 0.129362 40 8 0.448007 40 4 0.6 0 0 19360 15848
1280 -2114.03 0.00821975 40 7 1.20853 40 6 0.402999 40 9 0.224384 40 8 0.0372651 40 9 0.125496 40 13 0.49594 40 1 0.174557 40 5 0.518675 40 6 0.6 0 0 19360 15502
1320 -2113.55 0.0118492 40 8 1.14265 40 6 0.382876 40 11 0.278617 40 5 0.0624563 40 8 0.106478 40 5 0.46829 40 5 0.154922 40 7 0.476765 40 10 0.6 0 0 19360 15676
1360 -2175.8 0.0132833 40 8 0.961002 40 7 0.628844 40 12 0.137665 40 12 0.131555 40 9 0.0988478 40 5 0.637025 40 4 0.0888527 40 15 0.305962 40 13 0.6 0 0 19360 15867
1400 -2129.84 0.0135557 40 10 1.02519 40 5 0.669587 40 11 0.317736 40 8 0.0820542 40 7 0.124112 40 7 0.471789 40 7 0.114038 40 9 0.833038 40 10 0.6 0 0 19360 15799
