iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -6610.12 0.00283162 0 0 2.87711 0 0 2.98496 0 0 0.80065 0 0 3.52547 0 0 0.579276 0 0 1.51011 0 0 4.72392 0 0 5.48819 0 0 1 0 0 0 0
40 -2097.8 0.00974848 40 9 0.948411 40 11 0.665278 40 7 0.258023 40 7 0.0180985 40 11 0.136608 40 5 0.384769 40 4 0.144469 40 12 0.0418975 40 6 1 0 0 19280 15359
80 -2103.32 0.0080989 40 9 1.03554 40 6 1.04072 40 10 0.223789 40 6 0.0638034 40 13 0.0990452 40 11 0.439577 40 7 0.107648 40 6 0.258204 40 8 1 0 0 19280 15629
120 -2127.34 0.0138735 40 6 0.798866 40 3 0.496557 40 10 0.189899 40 8 0.193256 40 15 0.101175 40 12 0.434324 40 4 0.123973 40 9 0.104686 40 12 1 0 0 19280 15517
160 -2131.03 0.0116935 40 7 0.810912 40 12 0.618378 40 5 0.14682 40 7 0.0767852 40 19 0.0784254 40 5 0.490713 40 5 0.208669 40 11 0.310614 40 10 1 0 0 19280 15792
200 -2133.19 0.012867 40 11 0.87659 40 7 0.608881 40 3 0.191402 40 8 0.0747797 40 13 0.111886 40 9 0.390081 40 3 0.159714 40 6 0.175495 40 9 1 0 0 19280 15849
240 -2115.63 0.014611 40 5 0.829355 40 6 0.55311 40 6 0.145223 40 6 0.054047 40 10 0.124102 40 9 0.440165 40 5 0.109835 40 10 0.0617351 40 9 1 0 0 19280 15743
280 -2151.25 0.00973004 40 11 0.746174 40 8 0.730803 40 6 0.305124 40 11 0.0559474 40 15 0.142172 40 9 0.55738 40 5 0.217614 40 7 0.562057 40 7 1 0 0 19280 15788
320 -2114.2 0.0128651 40 6 0.778185 40 6 0.641894 40 10 0.27552 40 11 0.0828791 40 13 0.101268 40 13 0.476323 40 6 0.244075 40 13 0.188482 40 9 1 0 0 19280 15825
360 -2120.52 0.0124062 40 8 0.633272 40 6 0.370658 40 12 0.286021 40 14 0.0736025 40 9 0.145206 40 9 0.512186 40 11 0.187852 40 6 0.146528 40 8 1 0 0 19280 15965
400 -2131.22 0.0127589 40 7 0.757296 40 9 0.403419 40 7 0.148527 40 4 0.109211 40 13 0.0912057 40 8 0.480245 40 9 0.276146 40 10 0.0709401 40 9 1 0 0 19280 15920
440 -2119.37 0.0144441 40 8 0.923315 40 8 0.675667 40 7 0.3027 40 6 0.0663581 40 13 0.0804174 40 14 0.503574 40 4 0.126209 40 9 0.138906 40 8 1 0 0 19280 15791
480 -2126.36 0.0133533 40 7 0.683092 40 12 0.442374 40 5 0.178371 40 10 0.0706903 40 14 0.181721 40 11 0.453155 40 6 0.198443 40 5 0.235432 40 10 1 0 0 19280 15851
520 -2128.56 0.0133044 40 10 0.764122 40 10 0.562762 40 10 0.141278 40 14 0.0667728 40 11 0.092873 40 6 0.469922 40 2 0.12205 40 12 0.284172 40 15 1 0 0 19280 15703
