iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -20752.7 0.548612 0 0 3.63965 0 0 -1.51893 0 0 2.36357 0 0 0.809117 0 0 4.4017 0 0 2.35771 0 0 2.85415 0 0 1.80521 0 0 0.6 0 0 0 0
40 -2173.77 0.0171952 40 9 0.252001 40 17 0.0326952 40 18 0.476454 40 12 0.27214 40 12 0.393069 40 11 1.89499 40 11 0.587353 40 13 0.391911 40 13 0.6 0 0 19360 15169
80 -2146.76 0.0137072 40 6 0.707499 40 12 -0.140668 40 11 0.373927 40 10 0.0676471 40 11 0.138362 40 11 0.450995 40 8 0.139813 40 9 0.515999 40 8 0.6 0 0 19360 16094
120 -2110.99 0.0129246 40 7 0.822019 40 7 0.757597 40 12 0.24374 40 9 0.0728998 40 10 0.187443 40 6 0.608624 40 4 0.0807399 40 9 0.219715 40 13 0.6 0 0 19360 16003
160 -2112.16 0.0111465 40 6 0.81612 40 4 0.420935 40 8 0.169967 40 4 0.11516 40 10 0.14794 40 9 0.537691 40 7 0.274611 40 11 0.287984 40 10 0.6 0 0 19360 15728
200 -2133.85 0.0122952 40 4 1.04275 40 6 0.420943 40 9 0.317592 40 9 0.0772044 40 16 0.137393 40 11 0.487488 40 7 0.196235 40 12 0.132015 40 7 0.6 0 0 19360 15845
240 -2123.48 0.0140973 40 7 1.1819 40 8 0.746388 40 11 0.19229 40 10 0.045647 40 9 0.111894 40 6 0.340909 40 5 0.126246 40 4 0.230858 40 13 0.6 0 0 19360 15578
280 -2127.32 0.00896324 40 8 1.68273 40 12 0.717428 40 4 0.115424 40 6 0.0318153 40 8 0.0916262 40 9 0.312959 40 6 0.145168 40 9 0.441616 40 10 0.6 0 0 19360 15454
320 -2098.96 0.0107007 40 7 1.22384 40 5 0.586148 40 3 0.267512 40 7 0.0654101 40 13 0.0978866 40 8 0.412258 40 7 0.175863 40 12 0.431561 40 10 0.6 0 0 19360 15445
360 -2102.83 0.00873229 40 7 1.20343 40 3 0.685357 40 7 0.205404 40 7 0.065778 40 16 0.127701 40 8 0.417951 40 6 0.177813 40 8 0.230144 40 8 0.6 0 0 19360 15375
