iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -16814.5 0.548612 0 0 3.63965 0 0 -1.51893 0 0 1.82599 0 0 0.8622 0 0 2.82185 0 0 1.82282 0 0 2.08369 0 0 2.32525 0 0 0.6 0 0 0 0
40 -2178.21 0.0207989 40 8 0.306551 40 18 0.0783334 40 18 0.422394 40 10 0.25153 40 11 0.321925 40 8 0.771841 40 14 0.469616 40 11 0.355929 40 14 0.6 0 0 19360 15227
80 -2120.34 0.00959538 40 8 0.954645 40 10 0.799838 40 10 0.391707 40 7 0.0435924 40 8 0.179997 40 7 0.70319 40 6 0.312179 40 13 0.0447488 40 11 0.6 0 0 19360 15870
120 -2111.38 0.0123646 40 6 0.70473 40 4 0.47425 40 8 0.366142 40 6 0.113819 40 7 0.216068 40 4 0.620821 40 4 0.0939458 40 7 0.110346 40 17 0.6 0 0 19360 15834
160 -2121.39 0.0125737 40 6 0.69994 40 2 -0.0462004 40 9 0.222239 40 2 0.121654 40 8 0.197685 40 8 0.496426 40 6 0.209319 40 9 0.258515 40 11 0.6 0 0 19360 15932
200 -2156.33 0.0132668 40 7 0.602818 40 3 0.158735 40 11 0.521791 40 8 0.138894 40 9 0.217553 40 9 0.751125 40 6 0.284125 40 10 0.198208 40 12 0.6 0 0 19360 15878
240 -2111.95 0.00948896 40 8 0.95668 40 9 0.661341 40 10 0.297586 40 4 0.0821211 40 9 0.177177 40 6 0.525276 40 5 0.271263 40 2 0.213781 40 14 0.6 0 0 19360 15735
280 -2138.85 0.00986211 40 9 1.55996 40 11 0.997855 40 5 0.178629 40 6 0.083889 40 8 0.107941 40 9 0.36594 40 4 0.199045 40 8 0.092756 40 12 0.6 0 0 19360 15391
320 -2100.72 0.0124517 40 10 1.00475 40 6 0.475185 40 6 0.261503 40 8 0.0796622 40 13 0.115316 40 8 0.385669 40 3 0.217611 40 13 0.142817 40 12 0.6 0 0 19360 15428
360 -2105.39 0.00827041 40 8 1.07773 40 4 0.568311 40 10 0.30048 40 6 0.0994358 40 13 0.15044 40 8 0.383188 40 7 0.257676 40 6 0.145947 40 9 0.6 0 0 19360 15412
400 -2105.38 0.00802857 40 5 1.08708 40 10 0.522657 40 8 0.222647 40 11 0.060573 40 6 0.143513 40 6 0.605147 40 5 0.259974 40 12 0.200299 40 8 0.6 0 0 19360 15514
440 -2114.16 0.0136797 40 11 0.85922 40 6 0.648077 40 9 0.580306 40 11 0.136732 40 8 0.135234 40 6 0.648114 40 5 0.155023 40 4 0.448116 40 6 0.6 0 0 19360 15683
480 -2140.81 0.00964884 40 5 0.957986 40 7 0.208503 40 11 0.22012 40 5 0.120473 40 5 0.119015 40 13 0.447099 40 8 0.236065 40 4 0.0864597 40 8 0.6 0 0 19360 15716
520 -2102.88 0.00968377 40 9 0.972481 40 6 0.615809 40 7 0.203555 40 9 0.0996339 40 12 0.158049 40 4 0.438024 40 4 0.162059 40 10 0.133122 40 14 0.6 0 0 19360 15640
560 -2135.25 0.0124072 40 8 1.06344 40 8 0.746939 40 6 0.221168 40 5 0.0780129 40 13 0.167116 40 6 0.436733 40 7 0.238174 40 11 0.574481 40 11 0.6 0 0 19360 15745
600 -2080.55 0.00828281 40 8 0.990608 40 6 0.270186 40 5 0.306764 40 9 0.127779 40 11 0.156745 40 5 0.560287 40 4 0.269449 40 11 0.0503156 40 12 0.6 0 0 19360 15571
640 -2125.39 0.0082764 40 5 0.851495 40 9 0.0542099 40 7 0.319513 40 9 0.106901 40 4 0.20592 40 8 0.446403 40 5 0.202025 40 7 0.226689 40 10 0.6 0 0 19360 15674
680 -2119.19 0.0136742 40 10 1.25201 40 4 0.52341 40 11 0.224987 40 9 0.0934451 40 12 0.123001 40 6 0.328724 40 6 0.14968 40 3 0.400252 40 13 0.6 0 0 19360 15668
720 -2133.43 0.0117007 40 11 0.926128 40 5 0.402386 40 15 0.313326 40 5 0.152504 40 6 0.162268 40 4 0.591122 40 10 0.21685 40 7 0.238342 40 9 0.6 0 0 19360 15559
760 -2094.07 0.0109962 40 11 0.850443 40 11 0.459306 40 10 0.298465 40 12 0.122018 40 10 0.141956 40 12 0.520438 40 2 0.357268 40 7 0.07943 40 11 0.6 0 0 19360 15862
800 -2105.48 0.00997974 40 10 0.833227 40 5 0.57292 40 10 0.194833 40 6 0.0867942 40 8 0.225946 40 9 0.668363 40 3 0.212609 40 8 0.130671 40 12 0.6 0 0 19360 15866
840 -2124.68 0.00879784 40 12 0.99946 40 5 0.388009 40 9 0.289532 40 7 0.101331 40 11 0.17949 40 13 0.442979 40 4 0.18207 40 8 0.290308 40 11 0.6 0 0 19360 15629
880 -2107.88 0.00728598 40 7 1.09081 40 4 0.174708 40 7 0.241323 40 10 0.175707 40 6 0.169526 40 6 0.567912 40 5 0.203054 40 3 0.239278 40 15 0.6 0 0 19360 15424
