iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
1120 -2136.71 0.0110014 40 15 1.26294 40 5 0.704687 40 7 0.137397 40 8 0.0477999 40 12 0.0534386 40 10 0.423085 40 8 0.120412 40 8 0.375364 40 9 0.6 0 0 19360 15466
1160 -2145.01 0.0121563 40 8 1.21832 40 8 0.412317 40 7 0.18276 40 11 0.0580989 40 11 0.0758617 40 8 0.286928 40 8 0.163715 40 13 0.25259 40 11 0.6 0 0 19360 15545
1200 -2104.78 0.0126978 40 3 1.21693 40 9 0.728283 40 8 0.243 40 3 0.0927251 40 7 0.127891 40 11 0.433607 40 8 0.0959228 40 12 0.0835527 40 11 0.6 0 0 19360 15761
1240 -2135.24 0.0100889 40 8 1.07187 40 11 0.746839 40 13 0.154646 40 10 0.10384 40 14 0.13546 40 12 0.537624 40 5 0.295558 40 11 0.384473 40 10 0.6 0 0 19360 15936
1280 -2104.14 0.0119494 40 3 0.983624 40 9 0.0940996 40 8 0.219597 40 5 0.115245 40 9 0.167062 40 9 0.475669 40 7 0.188509 40 8 0.289947 40 7 0.6 0 0 19360 15584
1320 -2115.58 0.00916812 40 10 1.25412 40 13 0.662745 40 6 0.240865 40 3 0.10116 40 17 0.110339 40 7 0.319824 40 5 0.147101 40 10 0.316524 40 6 0.6 0 0 19360 15622
1360 -2103.24 0.0112184 40 8 1.38 40 6 0.431859 40 11 0.151232 40 8 0.0316042 40 16 0.0773684 40 6 0.347985 40 6 0.12701 40 6 0.499171 40 13 0.6 0 0 19360 15611
1400 -2142.32 0.0125514 40 7 1.0554 40 6 0.636414 40 9 0.159992 40 9 0.0864151 40 11 0.085067 40 9 0.422673 40 10 0.124706 40 9 0.122845 40 8 0.6 0 0 19360 15646
1440 -2154.3 0.0141659 40 6 1.0156 40 11 0.744725 40 9 0.161338 40 10 0.0921848 40 12 0.0958104 40 15 0.431354 40 6 0.186206 40 6 0.465397 40 9 0.6 0 0 19360 15862
1480 -2120.36 0.012992 40 14 1.06678 40 7 0.188015 40 11 0.155868 40 6 0.0421134 40 11 0.0849906 40 6 0.485148 40 11 0.163947 40 6 0.108465 40 12 0.6 0 0 19360 15647
1520 -2118.62 0.0157003 40 7 0.960956 40 10 0.803669 40 3 0.338067 40 4 0.0284976 40 15 0.0702501 40 12 0.387512 40 8 0.14824 40 4 0.115943 40 12 0.6 0 0 19360 15765
1560 -2101.96 0.00963018 40 6 1.17219 40 4 0.496222 40 8 0.206242 40 6 0.115409 40 13 0.119099 40 8 0.460369 40 5 0.21103 40 9 0.492508 40 10 0.6 0 0 19360 15820
1600 -2126.37 0.0137989 40 7 0.757101 40 12 0.413923 40 11 0.174304 40 11 0.0486399 40 10 0.0724249 40 6 0.771803 40 9 0.215496 40 5 0.406367 40 14 0.6 0 0 19360 15665
1640 -2140.62 0.0113526 40 5 1.06214 40 9 0.356041 40 11 0.217157 40 6 0.102579 40 14 0.105308 40 10 0.437552 40 7 0.144959 40 10 0.408387 40 14 0.6 0 0 19360 15729
1680 -2110.54 0.011847 40 8 1.44288 40 3 0.939862 40 8 0.0932716 40 5 0.0230744 40 8 0.0826071 40 9 0.400833 40 5 0.198829 40 10 0.137215 40 11 0.6 0 0 19360 15734
1720 -2077.87 0.0101247 40 10 1.42291 40 4 0.348665 40 6 0.229948 40 7 0.0663049 40 9 0.0959694 40 8 0.290193 40 8 0.191961 40 4 0.286596 40 9 0.6 0 0 19360 15569
1760 -2112.16 0.0107692 40 10 1.06283 40 8 0.186207 40 5 0.204454 40 7 0.0299144 40 12 0.144886 40 9 0.429883 40 8 0.157813 40 7 0.264774 40 11 0.6 0 0 19360 15629
1800 -2113.95 0.00916342 40 6 1.17736 40 6 0.442608 40 8 0.235207 40 7 0.0683427 40 7 0.151508 40 10 0.54611 40 3 0.126705 40 12 0.456945 40 9 0.6 0 0 19360 15632
1840 -2118.83 0.00851858 40 9 1.01089 40 8 0.527931 40 11 0.270435 40 5 0.0233417 40 13 0.153382 40 3 0.473898 40 4 0.20962 40 5 0.159481 40 14 0.6 0 0 19360 15712
1880 -2112.77 0.00967048 40 8 0.971447 40 4 0.604783 40 12 0.25842 40 7 0.116595 40 15 0.148586 40 6 0.576799 40 4 0.197223 40 6 0.326823 40 6 0.6 0 0 19360 15525
1920 -2094.82 0.0108819 40 8 1.18844 40 6 0.31043 40 10 0.156382 40 6 0.0654804 40 8 0.113571 40 2 0.425627 40 5 0.122801 40 6 0.0852547 40 11 0.6 0 0 19360 15599
1960 -2104.16 0.0124485 40 9 1.08334 40 7 0.732455 40 7 0.109843 40 6 0.0776822 40 10 0.093845 40 9 0.623432 40 5 0.14964 40 10 0.439636 40 11 0.6 0 0 19360 15734
2000 -2114.58 0.00573284 40 7 0.819492 40 5 0.360641 40 10 0.404708 40 7 0.0570498 40 14 0.181754 40 6 0.573832 40 1 0.250895 40 11 0.092206 40 10 0.6 0 0 19360 15541
2040 -2142.29 0.0112606 40 8 0.761879 40 6 0.355591 40 4 0.235111 40 7 0.0439502 40 11 0.183572 40 13 0.506834 40 10 0.182331 40 10 0.360038 40 14 0.6 0 0 19360 16016
2080 -2143.01 0.0132068 40 10 1.12214 40 8 0.523031 40 2 0.151607 40 10 0.0508816 40 13 0.0611203 40 6 0.462023 40 10 0.131077 40 8 0.56497 40 12 0.6 0 0 19360 15791
2120 -2114.05 0.0122042 40 5 1.07318 40 6 0.752989 40 6 0.096123 40 12 0.0596646 40 13 0.0870694 40 12 0.550302 40 5 0.20438 40 8 0.119902 40 9 0.6 0 0 19360 15644
