iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -24132.3 0.548612 0 0 3.63965 0 0 -1.51893 0 0 2.36357 0 0 0.809117 0 0 4.4017 0 0 2.35771 0 0 2.85415 0 0 2.32525 0 0 1 0 0 0 0
40 -2156.43 0.011973 40 10 0.975901 40 10 0.367176 40 17 0.139573 40 15 0.0659226 40 15 0.100629 40 20 0.390909 40 7 0.118768 40 14 0.1645 40 11 1 0 0 19280 15712
80 -2116.13 0.0138111 40 9 0.728389 40 4 0.677351 40 13 0.200619 40 8 0.0779612 40 11 0.163196 40 7 0.546237 40 6 0.196754 40 9 0.321966 40 14 1 0 0 19280 15621
120 -2115.32 0.0123242 40 8 0.66829 40 6 0.401385 40 4 0.156035 40 8 0.110553 40 8 0.151473 40 11 0.419008 40 9 0.156771 40 5 0.555152 40 12 1 0 0 19280 15990
160 -2133.94 0.0139882 40 8 0.88806 40 7 0.808662 40 13 0.125269 40 9 0.0637197 40 7 0.0847744 40 8 0.474966 40 3 0.194282 40 10 0.104148 40 16 1 0 0 19280 16125
200 -2115.95 0.0135813 40 7 0.536957 40 8 0.200575 40 9 0.2441 40 6 0.114621 40 5 0.213813 40 5 0.62107 40 8 0.210916 40 7 0.407426 40 13 1 0 0 19280 15709
240 -2166.06 0.0126107 40 4 0.687191 40 11 0.630493 40 7 0.170216 40 11 0.13515 40 14 0.155013 40 9 0.59136 40 4 0.336464 40 6 0.145813 40 12 1 0 0 19280 16086
280 -2146.08 0.00967837 40 6 0.805723 40 4 0.153839 40 8 0.287872 40 10 0.0936955 40 15 0.159819 40 9 0.524966 40 7 0.142757 40 12 0.219187 40 13 1 0 0 19280 15746
320 -2139.07 0.0141947 40 7 0.785659 40 8 0.704227 40 9 0.215589 40 12 0.0933655 40 9 0.270312 40 9 0.510958 40 9 0.184062 40 7 0.227774 40 7 1 0 0 19280 15856
360 -2168.4 0.0129263 40 3 0.833613 40 11 0.834827 40 8 0.344623 40 13 0.0675285 40 7 0.156348 40 10 0.68782 40 6 0.176334 40 8 0.183224 40 10 1 0 0 19280 16097
400 -2146.96 0.0120659 40 8 0.786953 40 4 0.882363 40 3 0.232437 40 8 0.0939128 40 13 0.123826 40 8 0.489478 40 7 0.203072 40 11 0.271923 40 12 1 0 0 19280 15913
440 -2129.3 0.011764 40 9 0.912624 40 3 0.604372 40 8 0.116256 40 9 0.0662305 40 10 0.145018 40 15 0.429058 40 6 0.147088 40 8 0.180818 40 8 1 0 0 19280 15713
480 -2132.68 0.0145195 40 6 0.805575 40 7 1.03804 40 9 0.125345 40 7 0.093976 40 11 0.114167 40 12 0.452536 40 5 0.115092 40 11 0.423279 40 6 1 0 0 19280 15765
520 -2119.21 0.0123247 40 7 0.850135 40 6 0.830927 40 8 0.164119 40 7 0.17456 40 15 0.142819 40 10 0.47769 40 6 0.104545 40 8 0.449381 40 8 1 0 0 19280 15616
560 -2140.08 0.0125741 40 6 0.876752 40 4 1.11038 40 9 0.329282 40 7 0.0740968 40 12 0.100825 40 11 0.424579 40 5 0.096506 40 5 0.364471 40 9 1 0 0 19280 15998
600 -2124.14 0.0126191 40 8 0.900541 40 4 0.831055 40 5 0.22908 40 12 0.0977821 40 11 0.0923704 40 8 0.40873 40 6 0.239235 40 5 0.112429 40 11 1 0 0 19280 15845
640 -2107.13 0.0100569 40 6 0.903255 40 4 0.773615 40 6 0.268498 40 9 0.0916827 40 11 0.131541 40 6 0.454987 40 10 0.148821 40 6 0.15486 40 10 1 0 0 19280 15711
680 -2109.81 0.00860725 40 7 0.776155 40 7 0.763454 40 6 0.217734 40 7 0.109034 40 12 0.241216 40 2 0.595354 40 3 0.298559 40 9 0.333855 40 12 1 0 0 19280 15434
720 -2127.95 0.0136092 40 12 0.877184 40 9 0.785581 40 10 0.258635 40 10 0.115255 40 13 0.0678338 40 13 0.524393 40 6 0.106905 40 10 0.108301 40 15 1 0 0 19280 15737
