"hhsize" "distribution" "1" "2" "3" "4" "5"
2 "Observed" "22" "10" "" "" ""
2 "Expected" "20.5 (15-26)" "11.5 (6-17)" "" "" ""
3 "Observed" "21" "9" "12" "" ""
3 "Expected" "19.2 (14-25)" "13.4 (8-19)" "9.4 (5-14)" "" ""
4 "Observed" "25" "9" "8" "7" ""
4 "Expected" "21 (14-27.0249999999999)" "15.3 (9-22)" "8.8 (4-14)" "3.9 (1-7)" ""
5 "Observed" "19" "9" "10" "2" "6"
5 "Expected" "12.8 (7-19)" "13.2 (8-19)" "9.6 (4-15)" "6.5 (2-11)" "4 (1-8)"
