iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -3173.88 2e-05 0 0 0.07 0 0 1.5 0 0 0.8 0 0 0.53 0 0 0.7 0 0 1 0 0 1.3 0 0 1 0 0 0.6 0 0 0 0
10 -2183.99 9.07322e-05 10 5 0.374041 10 3 0.191222 10 3 0.454741 10 1 0.175291 10 4 0.744114 10 1 1.21381 10 3 0.570443 10 1 0.397411 10 3 0.6 0 0 4820 3718
20 -2153.54 0.00382594 10 5 0.500147 10 3 0.240468 10 4 0.234547 10 1 0.116049 10 5 0.414009 10 3 1.33346 10 1 0.501911 10 1 0.295474 10 3 0.6 0 0 4820 3601
30 -2150.97 0.0105247 10 2 0.895471 10 3 0.872637 10 4 0.234547 10 0 0.0467501 10 5 0.183462 10 3 0.678405 10 2 0.117202 10 2 0.0657971 10 6 0.6 0 0 4820 3932
40 -2147.23 0.0131669 10 2 0.895471 10 0 0.884197 10 3 0.132085 10 3 0.126351 10 5 0.0695612 10 5 0.569203 10 2 0.182162 10 2 0.0742864 10 6 0.6 0 0 4820 3972
50 -2170.85 0.0132393 10 2 1.13233 10 2 0.870118 10 1 0.0764602 10 5 0.0417452 10 6 0.0703167 10 1 0.410161 10 1 0.165055 10 1 0.391698 10 3 0.6 0 0 4820 4006
60 -2123.33 0.0122072 10 3 1.08875 10 1 0.74587 10 1 0.226137 10 2 0.0349241 10 7 0.0703167 10 0 0.410161 10 0 0.0791272 10 2 0.18959 10 2 0.6 0 0 4820 3964
70 -2134.48 0.012396 10 2 1.12293 10 2 0.663382 10 1 0.0348297 10 2 0.0799134 10 3 0.112853 10 2 0.493115 10 2 0.133723 10 3 0.804111 10 6 0.6 0 0 4820 3982
80 -2187.61 0.012396 10 0 0.846977 10 2 0.947658 10 3 0.0518193 10 4 0.0881042 10 6 0.0977507 10 5 0.493115 10 0 0.193478 10 3 0.283084 10 5 0.6 0 0 4820 4024
90 -2150.03 0.0133181 10 4 0.859962 10 2 0.716984 10 4 0.0595109 10 2 0.0179841 10 5 0.127906 10 4 0.493115 10 0 0.193478 10 0 0.456384 10 2 0.6 0 0 4820 4049
100 -2172.13 0.0137329 10 4 0.859962 10 0 0.679198 10 4 0.213607 10 5 0.0335247 10 5 0.0831086 10 3 0.370624 10 2 0.06227 10 2 0.106645 10 3 0.6 0 0 4820 4042
110 -2116.63 0.0153503 10 1 0.958867 10 2 0.694418 10 1 0.109149 10 3 0.0123776 10 9 0.0564841 10 3 0.588764 10 1 0.160233 10 2 0.0778174 10 5 0.6 0 0 4820 4079
120 -2168.98 0.0137044 10 3 0.959896 10 2 0.720957 10 4 0.107949 10 2 0.0421515 10 8 0.070106 10 4 0.599782 10 4 0.130173 10 4 0.565212 10 6 0.6 0 0 4820 3988
130 -2121.2 0.0137044 10 0 0.959896 10 0 0.95448 10 1 0.0403324 10 6 0.0136522 10 7 0.0999397 10 3 0.599782 10 0 0.0551825 10 3 0.184854 10 4 0.6 0 0 4820 4006
140 -2132.04 0.0142363 10 3 0.885129 10 2 0.95448 10 0 0.200154 10 3 0.0116686 10 8 0.0922016 10 7 0.599782 10 0 0.187036 10 2 0.372988 10 5 0.6 0 0 4820 4040
150 -2140.26 0.0166845 10 2 1.10385 10 2 1.06589 10 2 0.0294605 10 2 0.0137069 10 6 0.0707668 10 4 0.40838 10 1 0.0405001 10 3 0.655024 10 5 0.6 0 0 4820 4031
160 -2159.12 0.0166845 10 0 1.07828 10 2 0.926782 10 3 0.113707 10 3 0.0409263 10 8 0.0477722 10 2 0.406073 10 3 0.126571 10 4 0.221785 10 4 0.6 0 0 4820 4074
170 -2105.85 0.014492 10 4 1.09467 10 1 0.710094 10 4 0.0376982 10 2 0.0355933 10 4 0.0779352 10 4 0.544563 10 2 0.0584347 10 1 0.097289 10 6 0.6 0 0 4820 4026
180 -2131.06 0.0128638 10 1 1.1027 10 4 0.689176 10 2 0.176834 10 3 0.0520324 10 7 0.0657362 10 4 0.378986 10 3 0.114562 10 2 0.111069 10 5 0.6 0 0 4820 3993
