iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2790.17 0.0002 0 0 0.2 0 0 0.5 0 0 0.2 0 0 0.6 0 0 0.3 0 0 1.5 0 0 0.8 0 0 0.3 0 0 0.6 0 0 0 0
10 -2170.64 0.000907322 10 5 0.350234 10 1 0.350399 10 1 0.515783 10 3 0.198443 10 4 0.864592 10 2 1.42359 10 1 0.8 10 0 0.264123 10 3 0.6 0 0 4820 3768
20 -2181.54 0.0107244 10 4 0.346607 10 2 0.399646 10 4 0.197122 10 2 0.117923 10 4 0.289455 10 5 1.93564 10 2 0.70389 10 1 0.196375 10 3 0.6 0 0 4820 3863
30 -2171.23 0.0109684 10 1 0.620571 10 3 0.622876 10 3 0.242406 10 1 0.0475049 10 5 0.349019 10 1 0.984769 10 2 0.164366 10 2 0.160166 10 7 0.6 0 0 4820 4011
40 -2151.79 0.0137221 10 2 0.620571 10 0 0.807981 10 6 0.136511 10 3 0.12839 10 5 0.132334 10 5 0.828629 10 4 0.255467 10 2 0.180831 10 6 0.6 0 0 4820 3997
50 -2174.43 0.0137975 10 2 0.932571 10 3 0.793902 10 1 0.0790221 10 5 0.0424191 10 6 0.0609408 10 2 0.471569 10 2 0.231476 10 1 0.40342 10 4 0.6 0 0 4820 4016
60 -2126.36 0.0127219 10 3 1.04071 10 2 0.669654 10 1 0.233714 10 2 0.0354879 10 7 0.0922059 10 1 0.349548 10 2 0.0643977 10 2 0.195264 10 2 0.6 0 0 4820 3997
70 -2133.22 0.0129186 10 2 1.07338 10 2 0.947338 10 2 0.0359967 10 2 0.0812036 10 3 0.107091 10 1 0.563434 10 2 0.156263 10 2 0.193929 10 3 0.6 0 0 4820 3981
80 -2202.07 0.0166157 10 2 0.606678 10 3 1.02152 10 4 0.0535556 10 4 0.0895266 10 6 0.0927592 10 5 0.563434 10 0 0.226091 10 3 0.387099 10 5 0.6 0 0 4820 4076
90 -2157.68 0.0160695 10 3 0.692187 10 1 0.790844 10 4 0.0615049 10 2 0.0182744 10 5 0.158436 10 6 0.563434 10 0 0.226091 10 0 0.276875 10 3 0.6 0 0 4820 4102
100 -2196.4 0.01657 10 4 0.692187 10 0 0.494131 10 5 0.0249949 10 6 0.0340659 10 5 0.0899653 10 5 0.423475 10 2 0.0893122 10 3 0.142755 10 4 0.6 0 0 4820 4096
110 -2135.58 0.01657 10 0 0.802303 10 1 0.509351 10 1 0.146636 10 6 0.0125774 10 9 0.0611441 10 3 0.423475 10 0 0.158404 10 1 0.104166 10 5 0.6 0 0 4820 4111
120 -2155.82 0.013301 10 3 1.28066 10 4 0.910191 10 5 0.145023 10 2 0.042832 10 8 0.049651 10 3 0.455244 10 2 0.128687 10 4 0.300664 10 6 0.6 0 0 4820 3994
130 -2120.12 0.013301 10 0 1.28066 10 0 1.14371 10 1 0.192464 10 8 0.0138726 10 7 0.07078 10 3 0.455244 10 0 0.0545524 10 3 0.129188 10 3 0.6 0 0 4820 3972
140 -2129.82 0.0138172 10 3 1.03161 10 3 0.57323 10 1 0.192756 10 2 0.011857 10 8 0.0694154 10 6 0.506823 10 1 0.143284 10 5 0.260668 10 5 0.6 0 0 4820 4025
150 -2144.17 0.0159161 10 1 1.04666 10 1 0.414674 10 3 0.0283717 10 2 0.0085752 10 8 0.0532779 10 4 0.391993 10 2 0.0639338 10 2 0.316711 10 3 0.6 0 0 4820 4016
160 -2158.79 0.0159161 10 0 1.02242 10 2 0.943675 10 5 0.109504 10 3 0.0282475 10 6 0.0478753 10 4 0.389779 10 3 0.0949989 10 3 0.240896 10 5 0.6 0 0 4820 4087
