iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2790.17 0.0002 0 0 0.2 0 0 0.5 0 0 0.2 0 0 0.6 0 0 0.3 0 0 1.5 0 0 0.8 0 0 0.3 0 0 0.6 0 0 0 0
10 -2170.64 0.000907322 10 5 0.350234 10 1 0.350399 10 1 0.515783 10 3 0.198443 10 4 0.864592 10 2 1.42359 10 1 0.8 10 0 0.264123 10 3 0.6 0 0 4820 3768
20 -2172.36 0.00993312 10 5 0.31865 10 3 0.399646 10 4 0.557483 10 2 0.460292 10 5 0.472792 10 2 1.93564 10 2 0.70389 10 1 0.196375 10 3 0.6 0 0 4820 3845
30 -2199.31 0.0145559 10 2 0.388778 10 2 0.296213 10 4 0.557483 10 0 0.060462 10 6 0.533196 10 1 0.707165 10 4 0.123676 10 2 0.085606 10 6 0.6 0 0 4820 4027
40 -2161.41 0.0152285 10 1 0.439734 10 1 0.530222 10 4 0.261376 10 2 0.0894075 10 3 0.202166 10 5 0.677493 10 4 0.310021 10 3 0.096651 10 6 0.6 0 0 4820 4119
50 -2177.24 0.0135122 10 1 0.896752 10 2 0.744487 10 2 0.136436 10 2 0.0851322 10 5 0.0800758 10 2 0.654569 10 3 0.141589 10 2 0.509622 10 3 0.6 0 0 4820 4034
60 -2133.74 0.0118741 10 2 0.862241 10 1 0.620239 10 1 0.207143 10 1 0.0623721 10 3 0.169617 10 1 0.485195 10 2 0.134867 10 1 0.246668 10 2 0.6 0 0 4820 3972
70 -2140.88 0.0120577 10 2 0.889306 10 2 0.537751 10 1 0.277564 10 2 0.0755812 10 2 0.182636 10 3 0.583324 10 2 0.180766 10 2 0.478912 10 5 0.6 0 0 4820 3981
80 -2195.49 0.0120577 10 0 0.670766 10 2 0.822027 10 3 0.146191 10 3 0.100334 10 4 0.0922566 10 2 0.583324 10 0 0.261543 10 3 0.430471 10 7 0.6 0 0 4820 4035
90 -2154.97 0.0129546 10 4 0.765308 10 1 0.822027 10 0 0.16789 10 2 0.0901893 10 2 0.158214 10 4 0.48439 10 2 0.261543 10 0 0.307898 10 3 0.6 0 0 4820 4055
100 -2170.44 0.0133581 10 4 0.765308 10 0 0.525314 10 5 0.245107 10 4 0.0642264 10 4 0.102802 10 3 0.456918 10 1 0.0841764 10 2 0.115095 10 3 0.6 0 0 4820 4022
110 -2114.16 0.0149313 10 1 0.853326 10 2 0.540533 10 1 0.29339 10 2 0.104785 10 5 0.112505 10 4 0.456918 10 0 0.168868 10 1 0.0839829 10 5 0.6 0 0 4820 4045
120 -2148.66 0.0126522 10 4 1.0358 10 3 0.342979 10 5 0.212898 10 4 0.0883628 10 7 0.0913573 10 3 0.491197 10 2 0.137188 10 4 0.0869324 10 7 0.6 0 0 4820 3942
130 -2123.41 0.0126522 10 0 1.0358 10 0 0.576503 10 1 0.0795443 10 6 0.10463 10 6 0.104453 10 2 0.491197 10 0 0.0581563 10 3 0.259515 10 5 0.6 0 0 4820 3936
140 -2132.16 0.0121096 10 4 0.834364 10 3 0.745968 10 1 0.292386 10 2 0.0790159 10 6 0.170862 10 4 0.68631 10 2 0.293049 10 3 0.315911 10 4 0.6 0 0 4820 3999
150 -2145.99 0.0139492 10 1 0.846539 10 1 0.857373 10 2 0.109156 10 2 0.128688 10 4 0.13114 10 4 0.530814 10 2 0.130759 10 2 0.554789 10 5 0.6 0 0 4820 3963
160 -2159.65 0.0139492 10 0 0.82693 10 2 0.71827 10 3 0.251899 10 3 0.0743013 10 4 0.0885281 10 2 0.527816 10 3 0.176045 10 3 0.187846 10 4 0.6 0 0 4820 4043
