iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -3173.88 2e-05 0 0 0.07 0 0 1.5 0 0 0.8 0 0 0.53 0 0 0.7 0 0 1 0 0 1.3 0 0 1 0 0 0.6 0 0 0 0
10 -2184.3 9.07322e-05 10 5 0.374041 10 3 0.191222 10 3 0.454741 10 1 0.314634 10 3 0.744114 10 1 1.21381 10 3 0.570443 10 1 0.397411 10 3 0.6 0 0 4820 3717
20 -2154.13 0.00382594 10 5 0.502216 10 3 0.240468 10 4 0.454741 10 0 0.124625 10 3 0.414009 10 3 1.33346 10 1 0.501911 10 1 0.295474 10 3 0.6 0 0 4820 3607
30 -2154.84 0.0105247 10 2 0.899176 10 3 0.953743 10 6 0.454741 10 0 0.115194 10 5 0.183462 10 3 0.678405 10 2 0.14813 10 2 0.30904 10 5 0.6 0 0 4820 3932
40 -2141.16 0.0116727 10 3 0.815768 10 1 0.916399 10 5 0.213206 10 2 0.0596012 10 3 0.120762 10 4 0.678405 10 0 0.230233 10 2 0.151037 10 5 0.6 0 0 4820 3952
50 -2174.5 0.0132277 10 1 1.02132 10 1 0.90232 10 1 0.204258 10 3 0.0990711 10 3 0.122074 10 1 0.386078 10 2 0.208611 10 1 0.336952 10 4 0.6 0 0 4820 3983
60 -2117.23 0.012096 10 3 0.982018 10 1 0.778072 10 1 0.204258 10 0 0.0617672 10 1 0.122074 10 0 0.421986 10 1 0.198707 10 1 0.163092 10 2 0.6 0 0 4820 3909
70 -2134.16 0.012283 10 2 1.01284 10 2 0.695584 10 1 0.235621 10 2 0.0748481 10 2 0.14178 10 1 0.507331 10 2 0.176616 10 1 0.353845 10 4 0.6 0 0 4820 3960
80 -2206.32 0.0181129 10 1 0.572462 10 3 0.97986 10 3 0.124099 10 3 0.0993613 10 4 0.0658316 10 5 0.507331 10 0 0.255539 10 3 0.576742 10 6 0.6 0 0 4820 4064
90 -2157.42 0.0133996 10 4 0.653148 10 1 0.749186 10 4 0.14252 10 2 0.0893145 10 2 0.213548 10 5 0.516609 10 2 0.255539 10 0 0.214925 10 1 0.6 0 0 4820 4076
100 -2188.42 0.0138169 10 4 0.653148 10 0 0.452473 10 5 0.511557 10 5 0.0636034 10 4 0.138756 10 3 0.48731 10 1 0.100945 10 3 0.296444 10 1 0.6 0 0 4820 4041
110 -2128.86 0.0154442 10 1 0.757054 10 1 0.467693 10 1 0.261396 10 3 0.103769 10 5 0.0943044 10 3 0.48731 10 0 0.202508 10 1 0.388784 10 1 0.6 0 0 4820 4078
120 -2165.27 0.0130868 10 4 0.918942 10 3 0.270139 10 5 0.258521 10 2 0.0875058 10 7 0.109819 10 1 0.523869 10 2 0.164517 10 4 0.585657 10 5 0.6 0 0 4820 3983
130 -2129.87 0.0119457 10 2 0.678102 10 1 0.503663 10 1 0.0965902 10 6 0.103615 10 6 0.156552 10 3 0.736343 10 1 0.0697415 10 3 0.463755 10 2 0.6 0 0 4820 3957
140 -2137.26 0.0124094 10 3 0.625284 10 2 0.673128 10 1 0.355043 10 2 0.0782495 10 6 0.174864 10 4 0.736343 10 0 0.308767 10 3 0.404539 10 3 0.6 0 0 4820 4025
150 -2147.47 0.0123329 10 4 0.724611 10 2 0.784533 10 2 0.132548 10 2 0.12744 10 4 0.134212 10 4 0.569511 10 2 0.137773 10 2 0.491512 10 3 0.6 0 0 4820 3987
160 -2162.68 0.0123329 10 0 0.762157 10 1 0.64543 10 3 0.177746 10 2 0.0735806 10 4 0.117356 10 1 0.566295 10 3 0.204716 10 3 0.571352 10 3 0.6 0 0 4820 4038
170 -2105.62 0.0121672 10 3 0.77374 10 1 0.428741 10 4 0.0589295 10 2 0.0955502 10 6 0.161585 10 4 0.721596 10 1 0.204716 10 0 0.250631 10 6 0.6 0 0 4820 3989
180 -2133.94 0.0108002 10 1 0.916758 10 3 0.428741 10 0 0.388695 10 2 0.0834626 10 4 0.0923975 10 3 0.4371 10 1 0.0950696 10 2 0.0895928 10 4 0.6 0 0 4820 3951
190 -2154.57 0.0108002 10 0 0.928245 10 2 0.660415 10 2 0.210714 10 2 0.0760548 10 2 0.121479 10 2 0.4371 10 0 0.117776 10 2 0.670973 10 2 0.6 0 0 4820 3921
200 -2154.91 0.0149859 10 2 0.948522 10 1 0.660415 10 0 0.210714 10 0 0.0651207 10 6 0.0950771 10 5 0.350221 10 1 0.164622 10 3 0.223271 10 3 0.6 0 0 4820 4008
210 -2168.92 0.0160034 10 2 0.943148 10 3 0.719312 10 4 0.210714 10 0 0.0386717 10 4 0.0940995 10 2 0.396363 10 2 0.125237 10 3 0.684861 10 1 0.6 0 0 4820 4054
220 -2138.92 0.0123727 10 2 0.828108 10 1 0.46231 10 3 0.210714 10 0 0.0456126 10 5 0.104216 10 1 0.446708 10 3 0.0795936 10 2 0.338477 10 5 0.6 0 0 4820 3978
230 -2167.74 0.0123727 10 0 0.937725 10 1 0.632968 10 1 0.210714 10 0 0.0937619 10 4 0.0661058 10 4 0.489926 10 1 0.0547544 10 4 0.506259 10 5 0.6 0 0 4820 3983
240 -2140.63 0.0126764 10 2 0.937725 10 0 0.638084 10 2 0.113483 10 2 0.0339772 10 5 0.0661058 10 0 0.435425 10 2 0.173531 10 4 0.255769 10 2 0.6 0 0 4820 3967
250 -2133.43 0.0126764 10 0 0.793342 10 4 0.946086 10 1 0.243859 10 4 0.192919 10 7 0.102625 10 3 0.655894 10 1 0.136814 10 1 0.464116 10 1 0.6 0 0 4820 3976
260 -2152.62 0.0118377 10 2 0.708417 10 1 0.481485 10 2 0.243859 10 0 0.0807325 10 3 0.140649 10 5 0.687992 10 2 0.312451 10 2 0.323972 10 4 0.6 0 0 4820 3963
270 -2168.8 0.0127308 10 1 0.674593 10 2 0.753639 10 1 0.175476 10 4 0.0624475 10 6 0.131203 10 4 0.689576 10 1 0.293082 10 2 0.842161 10 1 0.6 0 0 4820 3999
280 -2168.23 0.0127308 10 0 0.645912 10 1 0.263979 10 2 0.393104 10 2 0.0330707 10 7 0.135414 10 1 0.689576 10 0 0.13308 10 1 0.353409 10 4 0.6 0 0 4820 4034
290 -2169.05 0.0119164 10 1 0.83622 10 2 0.371135 10 3 0.13466 10 3 0.0815894 10 6 0.113005 10 2 0.689576 10 0 0.217796 10 1 0.39398 10 4 0.6 0 0 4820 3972
300 -2149.03 0.0117924 10 2 0.828843 10 2 0.924605 10 4 0.222079 10 2 0.0755828 10 6 0.11433 10 2 0.603914 10 2 0.190379 10 1 0.36232 10 3 0.6 0 0 4820 4039
310 -2140.62 0.0110712 10 2 0.714975 10 3 0.376831 10 2 0.352926 10 3 0.115305 10 3 0.11433 10 0 0.603914 10 0 0.214374 10 1 0.375818 10 4 0.6 0 0 4820 3938
320 -2152.9 0.0124898 10 2 0.714975 10 0 0.46508 10 1 0.178383 10 3 0.0811969 10 3 0.0760086 10 3 0.603914 10 0 0.263835 10 5 0.552988 10 1 0.6 0 0 4820 3926
330 -2096.96 0.0120049 10 3 0.817701 10 1 0.584524 10 2 0.190457 10 3 0.0934062 10 5 0.118012 10 1 0.636099 10 3 0.263835 10 0 0.563743 10 6 0.6 0 0 4820 4009
340 -2132.1 0.0120049 10 0 0.706655 10 6 0.830176 10 2 0.272997 10 1 0.072015 10 5 0.164737 10 1 0.633802 10 2 0.309244 10 5 0.313215 10 7 0.6 0 0 4820 3970
350 -2144.33 0.0130492 10 1 0.775261 10 1 0.758089 10 2 0.272997 10 0 0.0726543 10 3 0.139336 10 2 0.549102 10 1 0.121273 10 3 0.534912 10 4 0.6 0 0 4820 4024
360 -2143.93 0.0123068 10 1 0.736829 10 2 0.421097 10 3 0.172445 10 2 0.138098 10 2 0.139336 10 0 0.549102 10 0 0.154467 10 1 0.551041 10 4 0.6 0 0 4820 4032
370 -2161.72 0.0139958 10 2 0.796794 10 3 0.693521 10 3 0.077393 10 3 0.0500221 10 4 0.139336 10 0 0.415668 10 3 0.154467 10 0 0.156828 10 4 0.6 0 0 4820 4024
380 -2152.41 0.0130767 10 1 0.785345 10 4 0.403323 10 2 0.0909247 10 3 0.0540375 10 3 0.116132 10 3 0.619003 10 1 0.0609542 10 2 0.715473 10 3 0.6 0 0 4820 4032
390 -2158.68 0.0116791 10 1 0.682451 10 1 0.509621 10 1 0.445041 10 2 0.199155 10 5 0.127812 10 1 0.653057 10 1 0.104825 10 1 0.624322 10 4 0.6 0 0 4820 4009
400 -2169.1 0.0132703 10 1 0.716804 10 2 0.509621 10 0 0.119123 10 3 0.07827 10 4 0.096006 10 2 0.558559 10 2 0.168382 10 5 0.590498 10 2 0.6 0 0 4820 3947
410 -2177.26 0.0151087 10 1 0.721298 10 2 0.584521 10 1 0.358944 10 3 0.0607011 10 4 0.1419 10 3 0.578364 10 2 0.168382 10 0 0.29006 10 3 0.6 0 0 4820 4054
420 -2127.43 0.0131721 10 2 0.787149 10 4 0.549464 10 1 0.246728 10 2 0.152842 10 5 0.203137 10 6 0.529226 10 2 0.132388 10 5 0.450855 10 4 0.6 0 0 4820 3985
430 -2185.54 0.0145117 10 5 0.894932 10 5 0.733859 10 3 0.181291 10 4 0.0216 10 2 0.099578 10 5 0.529226 10 0 0.082136 10 1 0.588096 10 4 0.6 0 0 4820 4027
440 -2149.61 0.0127326 10 2 0.835102 10 2 0.522013 10 4 0.346971 10 1 0.0725852 10 4 0.0704241 10 2 0.529226 10 0 0.151428 10 1 0.320118 10 2 0.6 0 0 4820 4108
450 -2163.73 0.0127326 10 0 1.00713 10 5 0.670455 10 5 0.11501 10 3 0.0721187 10 3 0.0550713 10 3 0.290962 10 3 0.0840531 10 2 0.535188 10 4 0.6 0 0 4820 4008
460 -2156.82 0.0138941 10 1 1.15695 10 1 0.491809 10 3 0.131551 10 3 0.103502 10 4 0.0672038 10 3 0.268595 10 1 0.157552 10 4 0.463903 10 1 0.6 0 0 4820 3957
470 -2178.28 0.0138941 10 0 0.97001 10 1 0.775509 10 2 0.358176 10 4 0.0482449 10 5 0.0821508 10 2 0.379114 10 1 0.14855 10 2 0.256746 10 5 0.6 0 0 4820 3981
480 -2152.74 0.0138941 10 0 0.990352 10 1 0.494783 10 4 0.0879967 10 3 0.100098 10 2 0.0571237 10 2 0.535531 10 3 0.118879 10 2 0.518009 10 3 0.6 0 0 4820 4016
490 -2142.36 0.0119705 10 1 1.12498 10 5 0.711598 10 1 0.0980521 10 4 0.0607832 10 5 0.0830668 10 3 0.38138 10 1 0.118879 10 0 0.362321 10 4 0.6 0 0 4820 4026
500 -2138.12 0.0119705 10 0 1.12498 10 0 0.950281 10 2 0.0980521 10 0 0.0607832 10 0 0.0895149 10 4 0.386816 10 2 0.0644422 10 3 0.417942 10 3 0.6 0 0 4820 3970
510 -2212.85 0.0119099 10 1 1.07344 10 3 1.02246 10 3 0.228297 10 2 0.069387 10 6 0.0788665 10 1 0.506777 10 1 0.282003 10 4 0.181189 10 6 0.6 0 0 4820 4023
520 -2136.86 0.0101498 10 2 0.963131 10 4 0.876485 10 3 0.39773 10 2 0.0725551 10 6 0.0897814 10 2 0.506777 10 0 0.109365 10 2 0.356619 10 4 0.6 0 0 4820 3954
