iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2486.11 0.004 0 0 0.5 0 0 1 0 0 0.3 0 0 0.4 0 0 0.9 0 0 0.8 0 0 1 0 0 0.5 0 0 0.6 0 0 0 0
10 -2158.77 0.0151337 10 4 0.593042 10 4 0.45738 10 2 0.168942 10 1 0.0537384 10 5 0.215831 10 3 0.759248 10 1 0.438802 10 1 0.29291 10 2 0.6 0 0 4820 4057
20 -2164.2 0.0124057 10 2 0.539562 10 3 0.415425 10 3 0.344849 10 1 0.223471 10 5 0.183658 10 6 1.03234 10 2 0.431728 10 3 0.217778 10 3 0.6 0 0 4820 4025
30 -2179.88 0.012688 10 1 0.622518 10 1 0.638656 10 3 0.344849 10 0 0.0532784 10 4 0.249742 10 2 0.976064 10 1 0.075856 10 2 0.445903 10 5 0.6 0 0 4820 4024
40 -2154.17 0.0140719 10 3 0.622518 10 0 0.647993 10 5 0.194201 10 3 0.0787848 10 3 0.0946921 10 5 0.683477 10 2 0.19015 10 3 0.217926 10 5 0.6 0 0 4820 4056
50 -2183.94 0.0140719 10 0 0.787177 10 2 0.633914 10 1 0.186051 10 3 0.110087 10 2 0.0957206 10 1 0.539787 10 1 0.172293 10 1 0.609705 10 2 0.6 0 0 4820 4058
60 -2148.62 0.0150141 10 1 0.756884 10 1 0.509666 10 1 0.362434 10 1 0.095413 10 3 0.0957206 10 0 0.539787 10 0 0.164113 10 1 0.295111 10 2 0.6 0 0 4820 4041
70 -2160.9 0.0152463 10 2 0.549307 10 3 0.509666 10 0 0.322337 10 1 0.115619 10 2 0.153625 10 2 0.648957 10 2 0.219965 10 2 1.11871 10 3 0.6 0 0 4820 4087
80 -2200.46 0.0152463 10 0 0.549307 10 0 0.583846 10 4 0.169772 10 3 0.0984366 10 4 0.114527 10 4 0.648957 10 0 0.31826 10 3 0.589663 10 5 0.6 0 0 4820 4125
90 -2161.1 0.014745 10 3 0.626729 10 1 0.708223 10 1 0.194971 10 2 0.0884834 10 2 0.232877 10 4 0.538891 10 2 0.31826 10 0 0.261608 10 1 0.6 0 0 4820 4073
