iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2797.51 0.0002 0 0 0.2 0 0 0.5 0 0 0.2 0 0 0.6 0 0 0.3 0 0 1.5 0 0 0.8 0 0 0.3 0 0 0.6 0 0 0 0
10 -2179.99 0.000907322 10 5 0.350234 10 1 0.350399 10 1 0.515783 10 3 0.356189 10 3 0.864592 10 2 1.42359 10 1 0.8 10 0 0.463417 10 5 0.6 0 0 4820 3766
20 -2170.9 0.00993312 10 5 0.31865 10 3 0.399646 10 4 0.266031 10 1 0.141085 10 3 0.472792 10 2 1.93564 10 2 0.70389 10 1 0.34455 10 3 0.6 0 0 4820 3844
30 -2223.93 0.0170058 10 2 0.331753 10 2 0.705152 10 5 0.327144 10 1 0.0667575 10 5 0.533196 10 1 1.6507 10 3 0.123676 10 2 0.0767255 10 6 0.6 0 0 4820 4122
40 -2165.97 0.0177916 10 1 0.375235 10 1 0.667807 10 5 0.184231 10 3 0.0399799 10 4 0.202166 10 5 0.872358 10 5 0.310021 10 3 0.0866247 10 6 0.6 0 0 4820 4173
50 -2171.36 0.0127322 10 3 1.01 10 3 0.882072 10 2 0.176499 10 3 0.0897838 10 6 0.0794912 10 2 0.496456 10 2 0.280906 10 1 0.456755 10 3 0.6 0 0 4820 4040
60 -2127.34 0.0142536 10 2 0.971134 10 1 0.757824 10 1 0.176499 10 0 0.0559769 10 1 0.120274 10 1 0.496456 10 0 0.0781494 10 2 0.22108 10 2 0.6 0 0 4820 3976
70 -2145.89 0.0144741 10 2 1.00162 10 2 0.675337 10 1 0.156972 10 1 0.0678316 10 2 0.129505 10 3 0.333786 10 3 0.13207 10 3 0.937668 10 6 0.6 0 0 4820 4059
80 -2196.29 0.0144741 10 0 0.755477 10 2 1.39843 10 4 0.167438 10 2 0.0577508 10 4 0.112174 10 5 0.55238 10 1 0.233651 10 2 0.330102 10 5 0.6 0 0 4820 4102
90 -2151.74 0.0139982 10 3 0.861958 10 1 0.89306 10 3 0.141724 10 1 0.0519114 10 2 0.146779 10 4 0.55238 10 0 0.233651 10 0 0.532186 10 2 0.6 0 0 4820 4071
100 -2176.63 0.0144342 10 4 0.861958 10 0 0.596347 10 5 0.206907 10 4 0.0489807 10 1 0.0953716 10 3 0.415166 10 2 0.0751994 10 2 0.435501 10 3 0.6 0 0 4820 4047
110 -2114.86 0.0144342 10 0 0.961093 10 2 0.611567 10 1 0.247665 10 2 0.0799121 10 5 0.104373 10 4 0.415166 10 0 0.193504 10 2 0.0759507 10 6 0.6 0 0 4820 4061
120 -2152.28 0.0128866 10 3 1.16661 10 3 0.381356 10 5 0.24494 10 2 0.0673878 10 7 0.0847543 10 3 0.446313 10 2 0.157202 10 4 0.129117 10 8 0.6 0 0 4820 3942
130 -2115.14 0.011763 10 2 1.16661 10 0 0.61488 10 1 0.0460136 10 6 0.0628507 10 4 0.117741 10 1 0.446313 10 0 0.0666404 10 3 0.385447 10 5 0.6 0 0 4820 3928
140 -2126.19 0.0122195 10 3 1.07575 10 2 0.784345 10 1 0.228347 10 3 0.0474643 10 6 0.108625 10 7 0.446313 10 0 0.225871 10 2 0.46921 10 4 0.6 0 0 4820 3998
150 -2133.77 0.0136267 10 4 1.09144 10 1 0.89575 10 2 0.0852487 10 2 0.0773022 10 4 0.0833719 10 4 0.446313 10 0 0.100784 10 2 0.790857 10 5 0.6 0 0 4820 3947
160 -2152.67 0.0136267 10 0 1.06616 10 2 1.06486 10 4 0.114318 10 2 0.0569287 10 6 0.0983811 10 3 0.443792 10 3 0.149755 10 3 0.267777 10 4 0.6 0 0 4820 4023
170 -2105.53 0.0123463 10 2 1.08236 10 1 0.848167 10 4 0.242059 10 1 0.0495105 10 4 0.135518 10 4 0.443792 10 0 0.149755 10 0 0.117464 10 6 0.6 0 0 4820 4013
180 -2130.96 0.0109592 10 1 1.05967 10 4 0.82725 10 2 0.172143 10 1 0.0752044 10 3 0.0774915 10 3 0.443792 10 0 0.125099 10 3 0.134101 10 5 0.6 0 0 4820 3961
190 -2140.03 0.00915018 10 1 1.07295 10 2 0.740051 10 2 0.137601 10 3 0.0685296 10 2 0.158529 10 4 0.443792 10 0 0.154978 10 2 0.630825 10 2 0.6 0 0 4820 3891
200 -2139.22 0.0126963 10 2 1.09638 10 1 0.740051 10 0 0.137601 10 0 0.053283 10 6 0.113842 10 4 0.355584 10 1 0.198979 10 2 0.209911 10 3 0.6 0 0 4820 3938
210 -2166.34 0.0135584 10 2 1.09017 10 3 0.798948 10 4 0.0538557 10 2 0.0316419 10 4 0.112672 10 2 0.402432 10 2 0.151375 10 3 0.391637 10 2 0.6 0 0 4820 3986
220 -2127.77 0.0139458 10 1 0.957199 10 1 0.541946 10 3 0.225219 10 2 0.0373211 10 5 0.124785 10 1 0.453548 10 3 0.06247 10 3 0.278037 10 2 0.6 0 0 4820 3974
230 -2164.38 0.0139458 10 0 1.0839 10 1 0.712604 10 1 0.225219 10 0 0.0767178 10 4 0.0387503 10 5 0.497427 10 1 0.0429747 10 4 0.415858 10 5 0.6 0 0 4820 4003
240 -2141.46 0.014288 10 2 1.0839 10 0 0.835272 10 4 0.0668632 10 3 0.0278008 10 5 0.116963 10 2 0.391208 10 1 0.223078 10 4 0.158673 10 3 0.6 0 0 4820 3995
250 -2130.35 0.0122966 10 1 0.820011 10 3 0.814225 10 1 0.241372 10 3 0.15785 10 7 0.115424 10 6 0.589289 10 1 0.175878 10 1 0.429398 10 5 0.6 0 0 4820 4004
260 -2154.6 0.011483 10 2 0.910032 10 2 0.964509 10 3 0.241372 10 0 0.0660569 10 3 0.0841534 10 4 0.70179 10 3 0.401662 10 2 0.299737 10 4 0.6 0 0 4820 3943
270 -2162.33 0.010902 10 2 0.754173 10 3 0.787198 10 2 0.173686 10 4 0.0943129 10 5 0.13784 10 4 0.703405 10 1 0.376763 10 2 0.415827 10 3 0.6 0 0 4820 3989
280 -2169.32 0.0134804 10 1 0.919642 10 2 0.791988 10 1 0.346908 10 2 0.0361127 10 6 0.132739 10 2 0.535344 10 1 0.168807 10 2 0.332997 10 5 0.6 0 0 4820 4038
