iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -3158.33 2e-05 0 0 0.07 0 0 1.5 0 0 0.8 0 0 0.53 0 0 0.7 0 0 1 0 0 1.3 0 0 1 0 0 1 0 0 0 0
10 -2191.46 9.07322e-05 10 5 0.326254 10 2 0.191222 10 3 0.682856 10 2 0.207025 10 4 0.744114 10 1 1.21381 10 3 1.06378 10 2 0.397411 10 3 1 0 0 4820 3704
20 -2157.2 0.00382594 10 5 0.438053 10 3 0.240468 10 4 0.361577 10 1 0.123022 10 4 0.414009 10 3 1.33346 10 1 0.632842 10 3 0.295474 10 3 1 0 0 4820 3600
30 -2152.79 0.0105247 10 2 0.784297 10 3 0.871467 10 4 0.361577 10 0 0.0507439 10 4 0.183462 10 3 0.678405 10 2 0.147775 10 2 0.0657971 10 6 1 0 0 4820 3906
40 -2140.73 0.0116727 10 3 0.784297 10 0 1.05657 10 6 0.169526 10 2 0.075037 10 3 0.120762 10 4 0.569203 10 2 0.229681 10 2 0.0742864 10 6 1 0 0 4820 3963
50 -2173.18 0.0116727 10 0 0.981922 10 1 1.04249 10 1 0.162411 10 3 0.0948355 10 2 0.122074 10 1 0.449537 10 1 0.208112 10 1 0.170022 10 4 1 0 0 4820 3944
60 -2115.13 0.0124542 10 1 0.944134 10 1 0.918245 10 1 0.162411 10 0 0.0821943 10 3 0.122074 10 0 0.449537 10 0 0.0997685 10 2 0.119155 10 4 1 0 0 4820 3892
70 -2141.09 0.0126469 10 2 0.973769 10 2 0.835758 10 1 0.217625 10 2 0.0996014 10 2 0.131444 10 3 0.302241 10 3 0.168606 10 3 0.505374 10 6 1 0 0 4820 3965
80 -2205.54 0.0186494 10 1 0.550378 10 3 1.12003 10 3 0.114621 10 3 0.0847991 10 4 0.0577328 10 4 0.500176 10 1 0.24395 10 3 0.204849 10 7 1 0 0 4820 4081
90 -2163.82 0.0137965 10 4 0.627951 10 1 0.88936 10 4 0.131634 10 2 0.0762247 10 2 0.187277 10 5 0.787993 10 3 0.24395 10 0 0.330254 10 2 1 0 0 4820 4064
100 -2188.31 0.0165143 10 4 0.627951 10 0 0.851573 10 4 0.472486 10 5 0.0719213 10 1 0.121686 10 3 0.592253 10 2 0.0963671 10 3 0.130266 10 2 1 0 0 4820 3997
110 -2140.96 0.0165143 10 0 0.627951 10 0 0.765726 10 2 0.241432 10 3 0.11734 10 5 0.0827028 10 3 0.592253 10 0 0.247972 10 2 0.166105 10 3 1 0 0 4820 4113
120 -2172.43 0.0132562 10 3 0.762232 10 3 0.492986 10 6 0.238775 10 2 0.0989496 10 7 0.10851 10 2 0.636685 10 2 0.201452 10 4 0.479444 10 6 1 0 0 4820 3993
130 -2128.75 0.0132562 10 0 0.762232 10 0 0.72651 10 1 0.0892128 10 6 0.117166 10 6 0.124064 10 2 0.636685 10 0 0.0853988 10 3 0.156804 10 4 1 0 0 4820 3972
140 -2138.68 0.0121247 10 2 0.702861 10 2 0.895975 10 1 0.285149 10 3 0.0884828 10 6 0.203478 10 5 0.636685 10 0 0.289451 10 2 0.316389 10 5 1 0 0 4820 4014
150 -2143.17 0.00994501 10 3 0.713118 10 1 0.366454 10 3 0.106455 10 2 0.144107 10 4 0.156174 10 4 0.492432 10 2 0.129154 10 2 0.555627 10 5 1 0 0 4820 3937
160 -2154.4 0.00994501 10 0 0.6966 10 2 0.587245 10 4 0.210768 10 5 0.106126 10 6 0.13656 10 1 0.489651 10 3 0.191908 10 3 0.18813 10 4 1 0 0 4820 3957
170 -2113.87 0.00963092 10 1 0.707186 10 1 0.813551 10 2 0.0698778 10 2 0.0922973 10 4 0.160941 10 3 0.808548 10 1 0.191908 10 0 0.105958 10 5 1 0 0 4820 3950
180 -2137.61 0.0101345 10 3 0.837902 10 3 0.792634 10 2 0.1225 10 3 0.0806212 10 4 0.121018 10 1 0.48977 10 1 0.209162 10 1 0.123469 10 4 1 0 0 4820 3984
190 -2148.35 0.00951692 10 2 0.848401 10 2 0.774204 10 1 0.211706 10 2 0.0734656 10 2 0.159107 10 2 0.48977 10 0 0.131414 10 2 0.448754 10 1 1 0 0 4820 3875
200 -2156.56 0.0132052 10 2 0.866934 10 1 0.774204 10 0 0.211706 10 0 0.0629037 10 6 0.124527 10 5 0.327915 10 2 0.168725 10 2 0.102615 10 5 1 0 0 4820 3971
210 -2172.3 0.0145566 10 2 0.862022 10 3 0.8331 10 4 0.211706 10 0 0.0373551 10 4 0.0939519 10 4 0.55243 10 2 0.128358 10 3 0.191452 10 2 1 0 0 4820 4003
220 -2125.93 0.0149725 10 1 0.756877 10 1 0.576099 10 3 0.306607 10 3 0.0440598 10 5 0.104053 10 1 0.334693 10 4 0.0815774 10 2 0.179989 10 4 1 0 0 4820 3966
230 -2163.78 0.0149725 10 0 1.09297 10 2 0.746757 10 1 0.0984883 10 1 0.0905699 10 4 0.0660022 10 4 0.367073 10 1 0.0676558 10 2 0.269209 10 5 1 0 0 4820 4007
240 -2139.03 0.0126126 10 4 1.09297 10 0 1.13071 10 3 0.0530423 10 2 0.0328205 10 5 0.0660022 10 0 0.414818 10 1 0.176489 10 3 0.102718 10 3 1 0 0 4820 3914
250 -2125.48 0.0108547 10 1 0.826869 10 3 1.10966 10 1 0.191479 10 3 0.186351 10 7 0.102464 10 3 0.624853 10 1 0.139147 10 1 0.388218 10 3 1 0 0 4820 3959
260 -2149.1 0.0101365 10 2 0.738355 10 1 0.663426 10 2 0.191479 10 0 0.077984 10 3 0.140429 10 5 0.655432 10 2 0.317777 10 2 0.140898 10 3 1 0 0 4820 3896
270 -2157.28 0.0109013 10 1 0.703102 10 2 0.93558 10 1 0.137785 10 4 0.0603216 10 6 0.13323 10 3 0.656941 10 1 0.298078 10 2 0.366264 10 1 1 0 0 4820 3967
280 -2165.82 0.0134795 10 1 0.857366 10 2 0.94037 10 1 0.246756 10 2 0.0319448 10 7 0.128299 10 2 0.499981 10 1 0.133553 10 2 0.293306 10 5 1 0 0 4820 4023
290 -2158.44 0.0126173 10 1 0.851709 10 2 0.721598 10 4 0.316845 10 4 0.0788118 10 6 0.107068 10 2 0.513926 10 1 0.21857 10 1 0.326977 10 4 1 0 0 4820 3956
300 -2148.05 0.0124859 10 2 0.674144 10 5 1.08804 10 5 0.178961 10 3 0.0730096 10 6 0.107068 10 0 0.538446 10 1 0.191055 10 1 0.300702 10 3 1 0 0 4820 4050
310 -2143.54 0.0117223 10 2 0.642098 10 2 0.540265 10 2 0.366643 10 4 0.11138 10 3 0.107068 10 0 0.668214 10 1 0.215136 10 1 0.373022 10 5 1 0 0 4820 3947
320 -2156.2 0.0132244 10 2 0.544875 10 1 0.628513 10 1 0.185316 10 3 0.162947 10 4 0.183626 10 2 0.625597 10 1 0.257658 10 3 0.24737 10 3 1 0 0 4820 3961
330 -2104.78 0.012711 10 3 0.877586 10 3 0.747958 10 2 0.197859 10 3 0.0836656 10 3 0.105872 10 2 0.472237 10 2 0.182527 10 3 0.414845 10 7 1 0 0 4820 4005
340 -2123.66 0.012711 10 0 0.758407 10 6 0.99361 10 2 0.197859 10 0 0.0645051 10 5 0.147791 10 1 0.470532 10 2 0.213943 10 5 0.239047 10 3 1 0 0 4820 3955
350 -2143.19 0.0138167 10 1 0.832037 10 1 0.921523 10 2 0.197859 10 0 0.0650777 10 3 0.11227 10 1 0.407651 10 1 0.0838994 10 3 0.408247 10 4 1 0 0 4820 3998
360 -2138.24 0.0120869 10 2 0.790791 10 2 0.58453 10 3 0.168989 10 2 0.123697 10 2 0.128114 10 1 0.407651 10 0 0.268389 10 1 0.420557 10 4 1 0 0 4820 3940
370 -2164.79 0.0137458 10 2 0.783341 10 1 0.856954 10 3 0.0758421 10 3 0.0448057 10 4 0.128114 10 0 0.30859 10 3 0.111702 10 1 0.250044 10 7 1 0 0 4820 3983
380 -2160.14 0.0128431 10 1 0.876426 10 4 0.862654 10 1 0.0891025 10 3 0.0594601 10 4 0.106778 10 3 0.459545 10 1 0.0773615 10 3 0.468345 10 6 1 0 0 4820 4023
390 -2150.54 0.0128431 10 0 0.761599 10 1 0.862654 10 0 0.156853 10 1 0.174112 10 4 0.117518 10 1 0.484826 10 1 0.133041 10 1 0.408679 10 4 1 0 0 4820 4018
