"hhsize","nInfContacts","nContacts","sim"
5,56,180,44
6,40,100,44
7,27,54,44
8,30,63,44
12,3,11,44
2,8,32,45
3,28,82,45
4,40,144,45
5,57,180,45
6,43,100,45
7,10,54,45
8,36,63,45
12,0,11,45
2,6,32,46
3,28,82,46
4,34,144,46
5,49,180,46
6,42,100,46
7,22,54,46
8,23,63,46
12,4,11,46
2,12,32,47
3,29,82,47
4,32,144,47
5,66,180,47
6,36,100,47
7,29,54,47
8,32,63,47
12,7,11,47
2,13,32,48
3,33,82,48
4,40,144,48
5,68,180,48
6,31,100,48
7,25,54,48
8,32,63,48
12,1,11,48
2,8,32,49
3,38,82,49
4,39,144,49
5,62,180,49
6,34,100,49
7,26,54,49
8,21,63,49
12,3,11,49
2,10,32,50
3,22,82,50
4,40,144,50
5,59,180,50
6,34,100,50
7,22,54,50
8,17,63,50
12,1,11,50
2,10,32,51
3,33,82,51
4,45,144,51
5,64,180,51
6,34,100,51
7,22,54,51
8,28,63,51
12,3,11,51
2,11,32,52
3,36,82,52
4,35,144,52
5,70,180,52
6,34,100,52
7,24,54,52
8,35,63,52
12,3,11,52
2,8,32,53
3,26,82,53
4,30,144,53
5,69,180,53
6,37,100,53
7,29,54,53
8,28,63,53
12,6,11,53
2,11,32,54
3,26,82,54
4,49,144,54
5,63,180,54
6,44,100,54
7,24,54,54
8,30,63,54
12,4,11,54
2,12,32,55
3,21,82,55
4,36,144,55
5,59,180,55
6,37,100,55
7,18,54,55
8,22,63,55
12,1,11,55
2,11,32,56
3,26,82,56
4,39,144,56
5,71,180,56
6,37,100,56
7,26,54,56
8,25,63,56
12,0,11,56
2,12,32,57
3,26,82,57
4,31,144,57
5,63,180,57
6,34,100,57
7,25,54,57
8,24,63,57
12,1,11,57
2,12,32,58
3,33,82,58
4,41,144,58
5,71,180,58
6,43,100,58
7,21,54,58
8,20,63,58
12,1,11,58
2,13,32,59
3,34,82,59
4,41,144,59
5,67,180,59
6,33,100,59
7,19,54,59
8,25,63,59
12,7,11,59
2,9,32,60
3,19,82,60
4,36,144,60
5,60,180,60
6,36,100,60
7,18,54,60
8,27,63,60
12,3,11,60
2,11,32,61
3,33,82,61
4,40,144,61
5,63,180,61
6,34,100,61
7,21,54,61
8,23,63,61
12,2,11,61
2,12,32,62
3,29,82,62
4,37,144,62
5,53,180,62
6,29,100,62
7,19,54,62
8,22,63,62
12,2,11,62
2,13,32,63
3,36,82,63
4,35,144,63
5,78,180,63
6,44,100,63
7,18,54,63
8,25,63,63
12,3,11,63
2,10,32,64
3,30,82,64
4,43,144,64
5,64,180,64
6,35,100,64
7,27,54,64
8,26,63,64
12,0,11,64
2,9,32,65
3,28,82,65
4,46,144,65
5,70,180,65
6,38,100,65
7,25,54,65
8,23,63,65
12,3,11,65
2,11,32,66
3,25,82,66
4,37,144,66
5,66,180,66
6,37,100,66
7,31,54,66
8,22,63,66
12,4,11,66
2,11,32,67
3,23,82,67
4,34,144,67
5,62,180,67
6,34,100,67
7,20,54,67
8,20,63,67
12,3,11,67
2,6,32,68
3,26,82,68
4,42,144,68
5,77,180,68
6,30,100,68
7,18,54,68
8,21,63,68
12,1,11,68
2,8,32,69
3,28,82,69
4,31,144,69
5,65,180,69
6,36,100,69
7,24,54,69
8,24,63,69
12,2,11,69
2,12,32,70
3,21,82,70
4,35,144,70
5,68,180,70
6,42,100,70
7,20,54,70
8,24,63,70
12,1,11,70
2,15,32,71
3,30,82,71
4,39,144,71
5,56,180,71
6,39,100,71
7,24,54,71
8,22,63,71
12,1,11,71
2,11,32,72
3,29,82,72
4,34,144,72
5,64,180,72
6,36,100,72
7,23,54,72
8,26,63,72
12,3,11,72
2,15,32,73
3,23,82,73
4,37,144,73
5,63,180,73
6,39,100,73
7,20,54,73
8,32,63,73
12,5,11,73
2,8,32,74
3,20,82,74
4,34,144,74
5,59,180,74
6,37,100,74
7,25,54,74
8,33,63,74
12,3,11,74
2,11,32,75
3,30,82,75
4,52,144,75
5,84,180,75
6,41,100,75
7,30,54,75
8,32,63,75
12,3,11,75
2,15,32,76
3,34,82,76
4,48,144,76
5,63,180,76
6,44,100,76
7,26,54,76
8,30,63,76
12,0,11,76
2,12,32,77
3,32,82,77
4,47,144,77
5,57,180,77
6,35,100,77
7,26,54,77
8,20,63,77
12,2,11,77
2,10,32,78
3,28,82,78
4,41,144,78
5,55,180,78
6,38,100,78
7,23,54,78
8,31,63,78
12,3,11,78
2,11,32,79
3,22,82,79
4,32,144,79
5,50,180,79
6,30,100,79
7,22,54,79
8,32,63,79
12,5,11,79
2,8,32,80
3,30,82,80
4,36,144,80
5,63,180,80
6,38,100,80
7,22,54,80
8,28,63,80
12,3,11,80
2,13,32,81
3,32,82,81
4,42,144,81
5,57,180,81
6,43,100,81
7,26,54,81
8,29,63,81
12,3,11,81
2,9,32,82
3,32,82,82
4,41,144,82
5,66,180,82
6,31,100,82
7,22,54,82
8,22,63,82
12,4,11,82
2,8,32,83
3,28,82,83
4,50,144,83
5,59,180,83
6,42,100,83
7,22,54,83
8,27,63,83
12,2,11,83
2,10,32,84
3,24,82,84
4,30,144,84
5,60,180,84
6,37,100,84
7,21,54,84
8,28,63,84
12,1,11,84
2,13,32,85
3,36,82,85
4,35,144,85
5,60,180,85
6,34,100,85
7,21,54,85
8,28,63,85
12,3,11,85
2,15,32,86
3,24,82,86
4,38,144,86
5,70,180,86
6,24,100,86
7,19,54,86
8,22,63,86
12,0,11,86
2,8,32,87
3,22,82,87
4,28,144,87
5,52,180,87
6,26,100,87
7,18,54,87
8,21,63,87
12,2,11,87
2,11,32,88
3,27,82,88
4,45,144,88
5,64,180,88
6,36,100,88
7,19,54,88
8,22,63,88
12,2,11,88
2,11,32,89
3,26,82,89
4,44,144,89
5,56,180,89
6,33,100,89
7,20,54,89
8,29,63,89
12,6,11,89
2,10,32,90
3,26,82,90
4,35,144,90
5,56,180,90
6,30,100,90
7,21,54,90
8,30,63,90
12,4,11,90
2,15,32,91
3,32,82,91
4,35,144,91
5,68,180,91
6,35,100,91
7,24,54,91
8,29,63,91
12,1,11,91
2,9,32,92
3,30,82,92
4,36,144,92
5,45,180,92
6,37,100,92
7,22,54,92
8,19,63,92
12,2,11,92
2,9,32,93
3,27,82,93
4,38,144,93
5,62,180,93
6,33,100,93
7,23,54,93
8,29,63,93
12,3,11,93
2,8,32,94
3,33,82,94
4,41,144,94
5,68,180,94
6,37,100,94
7,23,54,94
8,30,63,94
12,0,11,94
2,12,32,95
3,22,82,95
4,42,144,95
5,60,180,95
6,35,100,95
7,17,54,95
8,30,63,95
12,1,11,95
2,12,32,96
3,29,82,96
4,42,144,96
5,66,180,96
6,42,100,96
7,17,54,96
8,27,63,96
12,3,11,96
2,11,32,97
3,24,82,97
4,39,144,97
5,59,180,97
6,34,100,97
7,29,54,97
8,26,63,97
12,0,11,97
2,12,32,98
3,36,82,98
4,37,144,98
5,66,180,98
6,37,100,98
7,16,54,98
8,25,63,98
12,1,11,98
2,3,32,99
3,27,82,99
4,41,144,99
5,75,180,99
6,37,100,99
7,25,54,99
8,25,63,99
12,2,11,99
2,12,32,100
3,33,82,100
4,38,144,100
5,61,180,100
6,41,100,100
7,25,54,100
8,28,63,100
12,3,11,100
2,14,32,101
3,15,82,101
4,36,144,101
5,74,180,101
6,37,100,101
7,24,54,101
8,30,63,101
12,1,11,101
2,14,32,102
3,15,82,102
4,41,144,102
5,66,180,102
6,40,100,102
7,23,54,102
8,29,63,102
12,7,11,102
2,12,32,103
3,35,82,103
4,43,144,103
5,61,180,103
6,35,100,103
7,23,54,103
8,28,63,103
12,3,11,103
2,10,32,104
3,30,82,104
4,37,144,104
5,63,180,104
6,36,100,104
7,25,54,104
8,33,63,104
12,4,11,104
2,14,32,105
3,26,82,105
4,52,144,105
5,77,180,105
6,46,100,105
7,28,54,105
8,34,63,105
12,3,11,105
2,8,32,106
3,21,82,106
4,31,144,106
5,57,180,106
6,35,100,106
7,19,54,106
8,27,63,106
12,2,11,106
2,10,32,107
3,22,82,107
4,44,144,107
5,57,180,107
6,34,100,107
7,25,54,107
8,30,63,107
12,2,11,107
2,7,32,108
3,22,82,108
4,42,144,108
5,60,180,108
6,30,100,108
7,27,54,108
8,28,63,108
12,3,11,108
2,10,32,109
3,27,82,109
4,43,144,109
5,63,180,109
6,32,100,109
7,21,54,109
8,33,63,109
12,5,11,109
2,10,32,110
3,24,82,110
4,40,144,110
5,57,180,110
6,31,100,110
7,17,54,110
8,27,63,110
12,4,11,110
2,12,32,111
3,28,82,111
4,40,144,111
5,64,180,111
6,30,100,111
7,30,54,111
8,31,63,111
12,3,11,111
2,10,32,112
3,32,82,112
4,41,144,112
5,45,180,112
6,33,100,112
7,22,54,112
8,30,63,112
12,2,11,112
2,12,32,113
3,24,82,113
4,40,144,113
5,57,180,113
6,40,100,113
7,21,54,113
8,34,63,113
12,3,11,113
2,7,32,114
3,20,82,114
4,45,144,114
5,65,180,114
6,22,100,114
7,27,54,114
8,22,63,114
12,0,11,114
2,13,32,115
3,26,82,115
4,49,144,115
5,69,180,115
6,38,100,115
7,27,54,115
8,29,63,115
12,4,11,115
2,11,32,116
3,21,82,116
4,36,144,116
5,59,180,116
6,33,100,116
7,20,54,116
8,25,63,116
12,2,11,116
2,12,32,117
3,29,82,117
4,33,144,117
5,57,180,117
6,40,100,117
7,22,54,117
8,24,63,117
12,1,11,117
2,13,32,118
3,30,82,118
4,42,144,118
5,63,180,118
6,28,100,118
7,24,54,118
8,35,63,118
12,2,11,118
2,12,32,119
3,27,82,119
4,44,144,119
5,59,180,119
6,37,100,119
7,22,54,119
8,24,63,119
12,2,11,119
2,11,32,120
3,32,82,120
4,46,144,120
5,63,180,120
6,44,100,120
7,22,54,120
8,25,63,120
12,2,11,120
2,10,32,121
3,32,82,121
4,39,144,121
5,69,180,121
6,41,100,121
7,18,54,121
8,27,63,121
12,7,11,121
2,16,32,122
3,21,82,122
4,39,144,122
5,54,180,122
6,39,100,122
7,27,54,122
8,29,63,122
12,0,11,122
2,13,32,123
3,26,82,123
4,44,144,123
5,56,180,123
6,43,100,123
7,17,54,123
8,32,63,123
12,2,11,123
2,6,32,124
3,32,82,124
4,36,144,124
5,76,180,124
6,29,100,124
7,26,54,124
8,31,63,124
12,1,11,124
2,9,32,125
3,30,82,125
4,39,144,125
5,69,180,125
6,41,100,125
7,26,54,125
8,24,63,125
12,3,11,125
2,12,32,126
3,32,82,126
4,31,144,126
5,60,180,126
6,37,100,126
7,23,54,126
8,29,63,126
12,1,11,126
2,11,32,127
3,25,82,127
4,39,144,127
5,57,180,127
6,43,100,127
7,23,54,127
8,20,63,127
12,2,11,127
2,15,32,128
3,25,82,128
4,47,144,128
5,65,180,128
6,46,100,128
7,23,54,128
8,27,63,128
12,1,11,128
2,11,32,129
3,31,82,129
4,34,144,129
5,62,180,129
6,25,100,129
7,21,54,129
8,26,63,129
12,1,11,129
2,13,32,130
3,32,82,130
4,35,144,130
5,57,180,130
6,24,100,130
7,15,54,130
8,31,63,130
12,2,11,130
2,11,32,131
3,22,82,131
4,35,144,131
5,47,180,131
6,35,100,131
7,17,54,131
8,25,63,131
12,0,11,131
2,13,32,132
3,27,82,132
4,55,144,132
5,70,180,132
6,40,100,132
7,18,54,132
8,29,63,132
12,2,11,132
2,13,32,133
3,33,82,133
4,40,144,133
5,59,180,133
6,33,100,133
7,17,54,133
8,26,63,133
12,1,11,133
2,10,32,134
3,32,82,134
4,44,144,134
5,61,180,134
6,37,100,134
7,24,54,134
8,17,63,134
12,6,11,134
2,9,32,135
3,32,82,135
4,51,144,135
5,59,180,135
6,36,100,135
7,21,54,135
8,26,63,135
12,2,11,135
2,16,32,136
3,32,82,136
4,35,144,136
5,59,180,136
6,42,100,136
7,16,54,136
8,32,63,136
12,1,11,136
2,9,32,137
3,26,82,137
4,33,144,137
5,59,180,137
6,41,100,137
7,24,54,137
8,32,63,137
12,1,11,137
2,10,32,138
3,23,82,138
4,40,144,138
5,67,180,138
6,35,100,138
7,24,54,138
8,33,63,138
12,3,11,138
2,14,32,139
3,33,82,139
4,41,144,139
5,63,180,139
6,39,100,139
7,26,54,139
8,23,63,139
12,2,11,139
2,12,32,140
3,29,82,140
4,49,144,140
5,53,180,140
6,34,100,140
7,22,54,140
8,30,63,140
12,3,11,140
2,13,32,141
3,32,82,141
4,47,144,141
5,62,180,141
6,35,100,141
7,26,54,141
8,20,63,141
12,2,11,141
2,7,32,142
3,24,82,142
4,39,144,142
5,63,180,142
6,38,100,142
7,24,54,142
8,25,63,142
12,0,11,142
2,11,32,143
3,29,82,143
4,39,144,143
5,55,180,143
6,29,100,143
7,17,54,143
8,25,63,143
12,4,11,143
2,14,32,144
3,30,82,144
4,35,144,144
5,52,180,144
6,37,100,144
7,21,54,144
8,21,63,144
12,0,11,144
2,12,32,145
3,34,82,145
4,43,144,145
5,76,180,145
6,32,100,145
7,25,54,145
8,29,63,145
12,4,11,145
2,13,32,146
3,34,82,146
4,56,144,146
