"hhsize","nInfContacts","nContacts","sim"
4,29,144,493
5,73,180,493
6,33,100,493
7,22,54,493
8,30,63,493
12,0,11,493
2,14,32,494
3,30,82,494
4,43,144,494
5,49,180,494
6,26,100,494
7,17,54,494
8,29,63,494
12,1,11,494
2,6,32,495
3,27,82,495
4,37,144,495
5,58,180,495
6,30,100,495
7,18,54,495
8,21,63,495
12,2,11,495
2,12,32,496
3,24,82,496
4,43,144,496
5,57,180,496
6,39,100,496
7,20,54,496
8,30,63,496
12,3,11,496
2,16,32,497
3,23,82,497
4,38,144,497
5,67,180,497
6,38,100,497
7,20,54,497
8,22,63,497
12,1,11,497
2,10,32,498
3,31,82,498
4,31,144,498
5,59,180,498
6,33,100,498
7,31,54,498
8,22,63,498
12,2,11,498
2,10,32,499
3,29,82,499
4,49,144,499
5,70,180,499
6,45,100,499
7,24,54,499
8,31,63,499
12,2,11,499
2,8,32,500
3,29,82,500
4,43,144,500
5,76,180,500
6,36,100,500
7,27,54,500
8,35,63,500
12,5,11,500
2,13,32,501
3,27,82,501
4,43,144,501
5,72,180,501
6,22,100,501
7,30,54,501
8,27,63,501
12,0,11,501
2,11,32,502
3,24,82,502
4,39,144,502
5,54,180,502
6,40,100,502
7,20,54,502
8,28,63,502
12,2,11,502
2,11,32,503
3,34,82,503
4,38,144,503
5,60,180,503
6,36,100,503
7,22,54,503
8,19,63,503
12,2,11,503
2,14,32,504
3,30,82,504
4,48,144,504
5,55,180,504
6,30,100,504
7,24,54,504
8,19,63,504
12,4,11,504
2,12,32,505
3,30,82,505
4,40,144,505
5,64,180,505
6,46,100,505
7,14,54,505
8,27,63,505
12,3,11,505
2,7,32,506
3,24,82,506
4,45,144,506
5,73,180,506
6,37,100,506
7,17,54,506
8,25,63,506
12,2,11,506
2,8,32,507
3,31,82,507
4,35,144,507
5,64,180,507
6,41,100,507
7,29,54,507
8,20,63,507
12,4,11,507
2,12,32,508
3,30,82,508
4,34,144,508
5,64,180,508
6,26,100,508
7,29,54,508
8,25,63,508
12,3,11,508
2,15,32,509
3,26,82,509
4,38,144,509
5,79,180,509
6,39,100,509
7,20,54,509
8,19,63,509
12,4,11,509
2,14,32,510
3,31,82,510
4,40,144,510
5,63,180,510
6,42,100,510
7,23,54,510
8,27,63,510
12,2,11,510
2,12,32,511
3,34,82,511
4,39,144,511
5,55,180,511
6,23,100,511
7,24,54,511
8,32,63,511
12,4,11,511
2,9,32,512
3,31,82,512
4,39,144,512
5,58,180,512
6,38,100,512
7,27,54,512
8,26,63,512
12,4,11,512
2,12,32,513
3,31,82,513
4,35,144,513
5,57,180,513
6,37,100,513
7,23,54,513
8,27,63,513
12,3,11,513
2,12,32,514
3,25,82,514
4,37,144,514
5,66,180,514
6,42,100,514
7,28,54,514
8,35,63,514
12,1,11,514
2,13,32,515
3,34,82,515
4,45,144,515
5,62,180,515
6,36,100,515
7,24,54,515
8,31,63,515
12,4,11,515
2,13,32,516
3,29,82,516
4,45,144,516
5,59,180,516
6,38,100,516
7,18,54,516
8,31,63,516
12,2,11,516
2,15,32,517
3,26,82,517
4,36,144,517
5,64,180,517
6,36,100,517
7,21,54,517
8,18,63,517
12,1,11,517
2,12,32,518
3,30,82,518
4,39,144,518
5,59,180,518
6,32,100,518
7,26,54,518
8,28,63,518
12,1,11,518
2,7,32,519
3,22,82,519
4,41,144,519
5,62,180,519
6,34,100,519
7,14,54,519
8,25,63,519
12,0,11,519
2,11,32,520
3,25,82,520
4,29,144,520
5,59,180,520
6,29,100,520
7,25,54,520
8,37,63,520
12,3,11,520
2,12,32,521
3,32,82,521
4,50,144,521
5,64,180,521
6,27,100,521
7,27,54,521
8,17,63,521
12,2,11,521
2,8,32,522
3,27,82,522
4,40,144,522
5,62,180,522
6,40,100,522
7,18,54,522
8,30,63,522
12,2,11,522
2,15,32,523
3,28,82,523
4,40,144,523
5,58,180,523
6,27,100,523
7,14,54,523
8,21,63,523
12,2,11,523
2,11,32,524
3,27,82,524
4,32,144,524
5,64,180,524
6,42,100,524
7,24,54,524
8,19,63,524
12,3,11,524
2,10,32,525
3,27,82,525
4,38,144,525
5,64,180,525
6,28,100,525
7,21,54,525
8,29,63,525
12,6,11,525
2,11,32,526
3,20,82,526
4,43,144,526
5,57,180,526
6,45,100,526
7,26,54,526
8,28,63,526
12,2,11,526
2,9,32,527
3,23,82,527
4,44,144,527
5,65,180,527
6,34,100,527
7,27,54,527
8,30,63,527
12,4,11,527
2,9,32,528
3,32,82,528
4,44,144,528
5,73,180,528
6,38,100,528
7,21,54,528
8,29,63,528
12,2,11,528
2,8,32,529
3,28,82,529
4,33,144,529
5,63,180,529
6,37,100,529
7,22,54,529
8,30,63,529
12,2,11,529
2,11,32,530
3,23,82,530
4,37,144,530
5,61,180,530
6,39,100,530
7,25,54,530
8,29,63,530
12,2,11,530
2,13,32,531
3,28,82,531
4,37,144,531
5,78,180,531
6,41,100,531
7,15,54,531
8,26,63,531
12,2,11,531
2,10,32,532
3,14,82,532
4,45,144,532
5,60,180,532
6,38,100,532
7,19,54,532
8,30,63,532
12,3,11,532
2,13,32,533
3,24,82,533
4,40,144,533
5,53,180,533
6,39,100,533
7,24,54,533
8,29,63,533
12,2,11,533
2,14,32,534
3,29,82,534
4,36,144,534
5,72,180,534
6,39,100,534
7,23,54,534
8,25,63,534
12,0,11,534
2,9,32,535
3,24,82,535
4,34,144,535
5,58,180,535
6,35,100,535
7,28,54,535
8,26,63,535
12,2,11,535
2,12,32,536
3,22,82,536
4,38,144,536
5,64,180,536
6,43,100,536
7,23,54,536
8,18,63,536
12,2,11,536
2,10,32,537
3,27,82,537
4,44,144,537
5,53,180,537
6,29,100,537
7,17,54,537
8,23,63,537
12,4,11,537
2,11,32,538
3,24,82,538
4,38,144,538
5,74,180,538
6,33,100,538
7,20,54,538
8,34,63,538
12,1,11,538
2,12,32,539
3,28,82,539
4,36,144,539
5,58,180,539
6,33,100,539
7,21,54,539
8,28,63,539
12,2,11,539
2,15,32,540
3,34,82,540
4,46,144,540
5,59,180,540
6,41,100,540
7,23,54,540
8,30,63,540
12,0,11,540
2,10,32,541
3,29,82,541
4,41,144,541
5,71,180,541
6,37,100,541
7,31,54,541
8,29,63,541
12,5,11,541
2,8,32,542
3,33,82,542
4,42,144,542
5,53,180,542
6,36,100,542
7,20,54,542
8,23,63,542
12,3,11,542
2,10,32,543
3,20,82,543
4,42,144,543
5,67,180,543
6,39,100,543
7,30,54,543
8,28,63,543
12,4,11,543
2,12,32,544
3,28,82,544
4,37,144,544
5,64,180,544
6,32,100,544
7,24,54,544
8,22,63,544
12,4,11,544
2,14,32,545
3,23,82,545
4,37,144,545
5,57,180,545
6,39,100,545
7,23,54,545
8,29,63,545
12,2,11,545
2,13,32,546
3,21,82,546
4,47,144,546
5,56,180,546
6,45,100,546
7,24,54,546
8,28,63,546
12,2,11,546
2,12,32,547
3,29,82,547
4,35,144,547
5,62,180,547
6,41,100,547
7,28,54,547
8,23,63,547
12,2,11,547
2,12,32,548
3,38,82,548
4,50,144,548
5,66,180,548
6,27,100,548
7,26,54,548
8,25,63,548
12,0,11,548
2,10,32,549
3,29,82,549
4,44,144,549
5,65,180,549
6,31,100,549
7,26,54,549
8,31,63,549
12,2,11,549
2,10,32,550
3,28,82,550
4,40,144,550
5,71,180,550
6,44,100,550
7,22,54,550
8,29,63,550
12,2,11,550
2,9,32,551
3,29,82,551
4,36,144,551
5,67,180,551
6,37,100,551
7,23,54,551
8,29,63,551
12,6,11,551
2,8,32,552
3,28,82,552
4,41,144,552
5,62,180,552
6,36,100,552
7,21,54,552
8,28,63,552
12,2,11,552
2,8,32,553
3,26,82,553
4,47,144,553
5,67,180,553
6,30,100,553
7,25,54,553
8,29,63,553
12,6,11,553
2,15,32,554
3,26,82,554
4,34,144,554
5,55,180,554
6,37,100,554
7,23,54,554
8,28,63,554
12,0,11,554
2,20,32,555
3,29,82,555
4,43,144,555
5,51,180,555
6,23,100,555
7,19,54,555
8,24,63,555
12,4,11,555
2,13,32,556
3,23,82,556
4,39,144,556
5,66,180,556
6,43,100,556
7,23,54,556
8,29,63,556
12,0,11,556
2,14,32,557
3,22,82,557
4,43,144,557
5,55,180,557
6,31,100,557
7,24,54,557
8,25,63,557
12,5,11,557
2,12,32,558
3,35,82,558
4,39,144,558
5,75,180,558
6,39,100,558
7,26,54,558
8,29,63,558
12,2,11,558
2,12,32,559
3,29,82,559
4,38,144,559
5,54,180,559
6,28,100,559
7,23,54,559
8,35,63,559
12,0,11,559
2,9,32,560
3,31,82,560
4,39,144,560
5,66,180,560
6,38,100,560
7,18,54,560
8,29,63,560
12,3,11,560
2,11,32,561
3,24,82,561
4,42,144,561
5,57,180,561
6,35,100,561
7,25,54,561
8,28,63,561
12,2,11,561
2,13,32,562
3,22,82,562
4,39,144,562
5,66,180,562
6,41,100,562
7,20,54,562
8,24,63,562
12,4,11,562
2,11,32,563
3,25,82,563
4,39,144,563
5,69,180,563
6,25,100,563
7,16,54,563
8,19,63,563
12,5,11,563
2,10,32,564
3,17,82,564
4,40,144,564
5,67,180,564
6,31,100,564
7,19,54,564
8,23,63,564
12,0,11,564
2,10,32,565
3,36,82,565
4,41,144,565
5,66,180,565
6,44,100,565
7,20,54,565
8,33,63,565
12,2,11,565
2,13,32,566
3,27,82,566
4,48,144,566
5,57,180,566
6,43,100,566
7,26,54,566
8,25,63,566
12,2,11,566
2,10,32,567
3,31,82,567
4,33,144,567
5,63,180,567
6,28,100,567
7,24,54,567
8,19,63,567
12,1,11,567
2,11,32,568
3,27,82,568
4,42,144,568
5,61,180,568
6,39,100,568
7,15,54,568
8,23,63,568
12,4,11,568
2,11,32,569
3,24,82,569
4,47,144,569
5,62,180,569
6,36,100,569
7,23,54,569
8,11,63,569
12,2,11,569
2,13,32,570
3,25,82,570
4,34,144,570
5,66,180,570
6,32,100,570
7,28,54,570
8,33,63,570
12,4,11,570
2,13,32,571
3,31,82,571
4,39,144,571
5,57,180,571
6,36,100,571
7,26,54,571
8,25,63,571
12,1,11,571
2,10,32,572
3,24,82,572
4,40,144,572
5,70,180,572
6,39,100,572
7,24,54,572
8,23,63,572
12,2,11,572
2,10,32,573
3,25,82,573
4,40,144,573
5,65,180,573
6,35,100,573
7,24,54,573
8,24,63,573
12,2,11,573
2,11,32,574
3,28,82,574
4,48,144,574
5,63,180,574
6,29,100,574
7,17,54,574
8,23,63,574
12,0,11,574
2,10,32,575
3,21,82,575
4,49,144,575
5,75,180,575
6,35,100,575
7,19,54,575
8,31,63,575
12,1,11,575
2,9,32,576
3,27,82,576
4,55,144,576
5,77,180,576
6,44,100,576
7,22,54,576
8,29,63,576
12,2,11,576
2,8,32,577
3,24,82,577
4,36,144,577
5,49,180,577
6,30,100,577
7,16,54,577
8,20,63,577
12,1,11,577
2,12,32,578
3,28,82,578
4,47,144,578
5,63,180,578
6,30,100,578
7,18,54,578
8,22,63,578
12,0,11,578
2,13,32,579
3,27,82,579
4,38,144,579
5,60,180,579
6,45,100,579
7,19,54,579
8,36,63,579
12,2,11,579
2,7,32,580
3,20,82,580
4,31,144,580
5,67,180,580
6,36,100,580
7,26,54,580
8,28,63,580
12,4,11,580
2,12,32,581
3,26,82,581
4,44,144,581
5,73,180,581
6,41,100,581
7,19,54,581
8,20,63,581
12,3,11,581
2,14,32,582
3,30,82,582
4,39,144,582
5,72,180,582
6,48,100,582
7,29,54,582
8,31,63,582
12,5,11,582
2,14,32,583
3,26,82,583
4,36,144,583
5,59,180,583
6,30,100,583
7,16,54,583
8,25,63,583
12,3,11,583
2,10,32,584
3,28,82,584
4,36,144,584
5,62,180,584
6,47,100,584
7,23,54,584
8,21,63,584
12,5,11,584
2,12,32,585
3,31,82,585
4,43,144,585
5,59,180,585
6,50,100,585
7,20,54,585
8,18,63,585
12,4,11,585
2,10,32,586
3,26,82,586
4,53,144,586
5,66,180,586
6,41,100,586
7,26,54,586
8,25,63,586
12,3,11,586
2,16,32,587
3,35,82,587
4,41,144,587
5,59,180,587
6,45,100,587
7,27,54,587
8,31,63,587
12,4,11,587
2,13,32,588
3,23,82,588
4,46,144,588
5,65,180,588
6,32,100,588
7,21,54,588
8,32,63,588
12,3,11,588
2,8,32,589
3,29,82,589
4,42,144,589
5,47,180,589
6,41,100,589
7,20,54,589
8,24,63,589
12,2,11,589
2,16,32,590
3,30,82,590
4,50,144,590
5,60,180,590
6,42,100,590
7,23,54,590
8,29,63,590
12,7,11,590
2,10,32,591
3,32,82,591
4,48,144,591
5,61,180,591
6,32,100,591
7,22,54,591
8,28,63,591
12,3,11,591
2,17,32,592
3,27,82,592
4,42,144,592
5,57,180,592
6,39,100,592
7,23,54,592
8,17,63,592
12,2,11,592
2,10,32,593
3,24,82,593
4,30,144,593
5,56,180,593
6,28,100,593
7,15,54,593
8,24,63,593
12,1,11,593
2,8,32,594
3,27,82,594
4,40,144,594
5,66,180,594
6,36,100,594
7,23,54,594
8,21,63,594
12,3,11,594
2,9,32,595
3,29,82,595
4,40,144,595
5,55,180,595
6,38,100,595
7,26,54,595
8,23,63,595
12,0,11,595
2,7,32,596
3,20,82,596
4,35,144,596
5,65,180,596
6,39,100,596
7,28,54,596
8,33,63,596
12,1,11,596
2,12,32,597
3,28,82,597
4,36,144,597
5,54,180,597
6,36,100,597
7,23,54,597
8,21,63,597
12,5,11,597
2,8,32,598
3,30,82,598
4,43,144,598
5,63,180,598
6,38,100,598
7,22,54,598
8,33,63,598
12,1,11,598
2,16,32,599
3,38,82,599
4,32,144,599
5,61,180,599
6,29,100,599
7,22,54,599
8,20,63,599
12,2,11,599
2,13,32,600
3,28,82,600
4,40,144,600
5,64,180,600
6,35,100,600
7,20,54,600
8,28,63,600
12,1,11,600
2,10,32,601
3,29,82,601
4,40,144,601
5,60,180,601
6,32,100,601
7,21,54,601
8,28,63,601
12,0,11,601
2,13,32,602
3,28,82,602
4,45,144,602
5,64,180,602
6,34,100,602
7,31,54,602
8,29,63,602
12,0,11,602
2,13,32,603
3,24,82,603
4,31,144,603
5,69,180,603
6,38,100,603
7,20,54,603
8,33,63,603
12,5,11,603
2,13,32,604
3,30,82,604
4,42,144,604
5,62,180,604
6,35,100,604
7,23,54,604
8,26,63,604
12,1,11,604
2,13,32,605
3,37,82,605
4,54,144,605
5,58,180,605
6,41,100,605
7,24,54,605
8,25,63,605
12,2,11,605
2,5,32,606
3,17,82,606
4,31,144,606
5,55,180,606
6,23,100,606
7,17,54,606
8,29,63,606
12,3,11,606
2,10,32,607
3,23,82,607
4,34,144,607
5,62,180,607
6,29,100,607
7,21,54,607
8,25,63,607
12,1,11,607
2,7,32,608
3,22,82,608
4,43,144,608
5,62,180,608
6,31,100,608
7,27,54,608
8,26,63,608
12,0,11,608
2,10,32,609
3,28,82,609
4,35,144,609
5,64,180,609
6,38,100,609
7,16,54,609
8,23,63,609
12,4,11,609
2,10,32,610
3,29,82,610
4,45,144,610
5,55,180,610
6,33,100,610
7,23,54,610
8,26,63,610
12,5,11,610
2,11,32,611
3,32,82,611
4,40,144,611
5,56,180,611
6,29,100,611
7,29,54,611
8,20,63,611
12,4,11,611
2,10,32,612
3,30,82,612
4,35,144,612
5,57,180,612
6,36,100,612
7,21,54,612
8,29,63,612
12,5,11,612
2,11,32,613
3,24,82,613
4,39,144,613
5,58,180,613
6,41,100,613
7,23,54,613
8,24,63,613
12,2,11,613
2,8,32,614
3,32,82,614
4,35,144,614
5,72,180,614
6,39,100,614
7,19,54,614
8,28,63,614
12,1,11,614
2,15,32,615
3,37,82,615
4,43,144,615
5,57,180,615
6,45,100,615
7,25,54,615
8,28,63,615
12,0,11,615
2,12,32,616
3,23,82,616
4,33,144,616
5,54,180,616
6,30,100,616
7,18,54,616
8,27,63,616
12,2,11,616
2,9,32,617
3,35,82,617
4,45,144,617
5,57,180,617
6,42,100,617
7,23,54,617
8,24,63,617
12,3,11,617
2,14,32,618
3,26,82,618
4,37,144,618
5,51,180,618
6,41,100,618
7,20,54,618
8,17,63,618
12,2,11,618
2,11,32,619
3,29,82,619
4,48,144,619
5,57,180,619
6,34,100,619
7,23,54,619
8,24,63,619
12,3,11,619
2,13,32,620
3,25,82,620
4,33,144,620
5,54,180,620
6,33,100,620
7,19,54,620
8,30,63,620
12,2,11,620
2,8,32,621
3,25,82,621
4,47,144,621
5,67,180,621
6,32,100,621
7,23,54,621
8,21,63,621
12,4,11,621
2,6,32,622
3,24,82,622
4,45,144,622
5,53,180,622
6,37,100,622
7,20,54,622
8,21,63,622
12,1,11,622
2,12,32,623
3,28,82,623
4,43,144,623
5,63,180,623
6,39,100,623
7,19,54,623
8,40,63,623
12,2,11,623
2,13,32,624
3,29,82,624
4,36,144,624
5,54,180,624
6,40,100,624
7,24,54,624
8,27,63,624
12,0,11,624
2,16,32,625
3,33,82,625
4,39,144,625
5,69,180,625
6,40,100,625
7,21,54,625
8,25,63,625
12,4,11,625
2,11,32,626
3,29,82,626
4,48,144,626
5,66,180,626
6,42,100,626
7,18,54,626
8,30,63,626
12,1,11,626
2,10,32,627
3,35,82,627
4,47,144,627
5,48,180,627
6,36,100,627
7,25,54,627
8,25,63,627
12,3,11,627
2,13,32,628
3,26,82,628
4,39,144,628
5,60,180,628
6,44,100,628
7,26,54,628
8,27,63,628
12,2,11,628
2,9,32,629
3,21,82,629
4,36,144,629
5,76,180,629
6,39,100,629
7,19,54,629
8,24,63,629
12,3,11,629
2,9,32,630
3,27,82,630
4,43,144,630
5,68,180,630
6,29,100,630
7,22,54,630
8,26,63,630
12,2,11,630
2,14,32,631
3,26,82,631
4,29,144,631
5,63,180,631
6,35,100,631
7,26,54,631
8,31,63,631
12,1,11,631
2,10,32,632
3,25,82,632
4,30,144,632
5,64,180,632
6,45,100,632
7,34,54,632
8,27,63,632
12,3,11,632
2,10,32,633
3,24,82,633
4,37,144,633
5,62,180,633
6,42,100,633
7,28,54,633
8,26,63,633
12,6,11,633
2,10,32,634
3,28,82,634
4,42,144,634
5,51,180,634
6,31,100,634
7,18,54,634
8,22,63,634
12,6,11,634
2,14,32,635
3,31,82,635
4,41,144,635
5,63,180,635
6,33,100,635
7,12,54,635
8,23,63,635
12,3,11,635
2,12,32,636
3,22,82,636
4,42,144,636
5,41,180,636
6,40,100,636
7,23,54,636
8,32,63,636
12,2,11,636
2,9,32,637
3,27,82,637
4,47,144,637
5,47,180,637
6,33,100,637
7,17,54,637
8,32,63,637
12,1,11,637
2,10,32,638
3,23,82,638
4,25,144,638
5,53,180,638
6,28,100,638
7,23,54,638
8,33,63,638
12,3,11,638
2,9,32,639
3,31,82,639
4,47,144,639
5,56,180,639
6,32,100,639
7,25,54,639
8,37,63,639
12,3,11,639
2,11,32,640
3,36,82,640
4,43,144,640
5,64,180,640
6,28,100,640
7,18,54,640
8,24,63,640
12,0,11,640
2,7,32,641
3,24,82,641
4,39,144,641
5,52,180,641
6,39,100,641
7,28,54,641
8,25,63,641
12,0,11,641
2,10,32,642
3,25,82,642
4,35,144,642
5,63,180,642
6,36,100,642
7,13,54,642
8,33,63,642
12,2,11,642
2,10,32,643
3,29,82,643
4,38,144,643
5,53,180,643
6,25,100,643
7,20,54,643
8,30,63,643
12,1,11,643
2,10,32,644
3,20,82,644
4,36,144,644
5,61,180,644
6,30,100,644
7,21,54,644
8,18,63,644
12,3,11,644
2,10,32,645
3,19,82,645
4,47,144,645
5,55,180,645
6,50,100,645
7,22,54,645
8,22,63,645
12,2,11,645
2,13,32,646
3,26,82,646
4,37,144,646
5,57,180,646
6,38,100,646
7,22,54,646
8,19,63,646
12,3,11,646
2,11,32,647
3,29,82,647
4,39,144,647
5,64,180,647
6,35,100,647
7,32,54,647
8,23,63,647
12,2,11,647
2,6,32,648
3,24,82,648
4,36,144,648
5,53,180,648
6,38,100,648
7,26,54,648
8,29,63,648
12,7,11,648
2,10,32,649
3,28,82,649
4,35,144,649
5,52,180,649
6,33,100,649
7,23,54,649
8,28,63,649
12,1,11,649
2,17,32,650
3,34,82,650
4,41,144,650
5,59,180,650
6,38,100,650
7,24,54,650
8,18,63,650
12,1,11,650
2,17,32,651
3,19,82,651
4,49,144,651
5,67,180,651
6,34,100,651
7,20,54,651
8,27,63,651
12,0,11,651
2,6,32,652
3,23,82,652
4,40,144,652
5,79,180,652
6,32,100,652
7,24,54,652
8,30,63,652
12,0,11,652
2,12,32,653
3,30,82,653
4,27,144,653
5,61,180,653
6,38,100,653
7,19,54,653
8,25,63,653
12,6,11,653
2,11,32,654
3,27,82,654
4,45,144,654
5,56,180,654
6,44,100,654
7,27,54,654
8,37,63,654
12,1,11,654
2,9,32,655
3,27,82,655
4,39,144,655
5,51,180,655
6,26,100,655
7,22,54,655
8,20,63,655
12,1,11,655
2,11,32,656
3,32,82,656
4,39,144,656
5,65,180,656
6,32,100,656
7,23,54,656
8,26,63,656
12,1,11,656
2,15,32,657
3,25,82,657
4,48,144,657
5,63,180,657
6,35,100,657
7,25,54,657
8,26,63,657
12,5,11,657
2,11,32,658
3,28,82,658
4,45,144,658
5,64,180,658
6,38,100,658
7,27,54,658
8,28,63,658
12,1,11,658
2,12,32,659
3,29,82,659
4,35,144,659
5,68,180,659
6,42,100,659
7,19,54,659
8,28,63,659
12,5,11,659
2,10,32,660
3,18,82,660
4,42,144,660
5,64,180,660
6,41,100,660
7,25,54,660
8,30,63,660
12,0,11,660
2,9,32,661
3,22,82,661
4,36,144,661
5,47,180,661
6,46,100,661
7,21,54,661
8,26,63,661
12,1,11,661
2,12,32,662
3,29,82,662
4,45,144,662
5,71,180,662
6,29,100,662
7,14,54,662
8,35,63,662
12,5,11,662
2,13,32,663
3,28,82,663
4,40,144,663
5,52,180,663
6,36,100,663
7,19,54,663
8,31,63,663
12,0,11,663
2,12,32,664
3,28,82,664
4,41,144,664
5,60,180,664
6,37,100,664
7,26,54,664
8,26,63,664
12,2,11,664
2,8,32,665
3,24,82,665
4,33,144,665
5,76,180,665
6,39,100,665
7,24,54,665
8,31,63,665
12,3,11,665
2,16,32,666
3,27,82,666
4,43,144,666
5,65,180,666
6,38,100,666
7,20,54,666
8,32,63,666
12,2,11,666
2,10,32,667
3,23,82,667
4,33,144,667
5,65,180,667
6,39,100,667
7,24,54,667
8,31,63,667
12,1,11,667
2,8,32,668
3,28,82,668
4,31,144,668
5,47,180,668
6,36,100,668
7,23,54,668
8,30,63,668
12,0,11,668
2,9,32,669
3,26,82,669
4,39,144,669
5,73,180,669
6,37,100,669
7,21,54,669
8,23,63,669
12,3,11,669
2,4,32,670
3,25,82,670
4,42,144,670
5,53,180,670
6,40,100,670
7,26,54,670
8,19,63,670
12,2,11,670
2,13,32,671
3,26,82,671
4,49,144,671
5,79,180,671
6,44,100,671
7,21,54,671
8,29,63,671
12,1,11,671
2,10,32,672
3,32,82,672
4,38,144,672
5,61,180,672
6,41,100,672
7,18,54,672
8,21,63,672
12,1,11,672
2,12,32,673
3,37,82,673
4,48,144,673
5,67,180,673
6,27,100,673
7,26,54,673
8,27,63,673
12,1,11,673
2,10,32,674
3,35,82,674
4,38,144,674
5,68,180,674
6,40,100,674
7,17,54,674
8,26,63,674
12,4,11,674
2,12,32,675
3,30,82,675
4,37,144,675
5,62,180,675
6,30,100,675
7,22,54,675
8,18,63,675
12,3,11,675
2,11,32,676
3,34,82,676
4,33,144,676
5,60,180,676
6,40,100,676
7,29,54,676
8,34,63,676
12,4,11,676
2,8,32,677
3,28,82,677
4,46,144,677
5,60,180,677
6,30,100,677
7,24,54,677
8,24,63,677
12,1,11,677
2,8,32,678
3,24,82,678
4,31,144,678
5,67,180,678
6,38,100,678
7,30,54,678
8,30,63,678
12,4,11,678
2,10,32,679
3,27,82,679
4,40,144,679
5,70,180,679
6,33,100,679
7,21,54,679
8,23,63,679
12,2,11,679
2,8,32,680
3,21,82,680
4,45,144,680
5,60,180,680
6,43,100,680
7,15,54,680
8,29,63,680
12,1,11,680
2,12,32,681
3,23,82,681
4,35,144,681
5,72,180,681
6,35,100,681
7,18,54,681
8,24,63,681
12,3,11,681
2,11,32,682
3,22,82,682
4,36,144,682
5,49,180,682
6,34,100,682
7,19,54,682
8,21,63,682
12,0,11,682
2,9,32,683
3,28,82,683
4,47,144,683
5,74,180,683
6,40,100,683
7,28,54,683
8,26,63,683
12,0,11,683
2,11,32,684
3,22,82,684
4,40,144,684
5,61,180,684
6,32,100,684
7,25,54,684
8,26,63,684
12,4,11,684
2,11,32,685
3,28,82,685
4,42,144,685
5,59,180,685
6,32,100,685
7,21,54,685
8,31,63,685
12,2,11,685
2,8,32,686
3,31,82,686
4,49,144,686
5,62,180,686
6,47,100,686
7,26,54,686
8,32,63,686
12,2,11,686
2,16,32,687
3,36,82,687
4,46,144,687
5,55,180,687
6,35,100,687
7,20,54,687
8,24,63,687
12,0,11,687
2,10,32,688
3,33,82,688
4,39,144,688
5,52,180,688
6,37,100,688
7,25,54,688
8,24,63,688
12,1,11,688
2,12,32,689
3,24,82,689
4,42,144,689
5,54,180,689
6,34,100,689
7,24,54,689
8,30,63,689
12,2,11,689
2,17,32,690
3,25,82,690
4,45,144,690
5,59,180,690
6,37,100,690
7,29,54,690
8,33,63,690
12,5,11,690
2,12,32,691
3,16,82,691
4,30,144,691
5,52,180,691
6,29,100,691
7,24,54,691
8,31,63,691
12,2,11,691
2,10,32,692
3,24,82,692
4,44,144,692
5,61,180,692
6,35,100,692
7,20,54,692
8,22,63,692
12,0,11,692
2,14,32,693
3,26,82,693
4,43,144,693
5,62,180,693
6,31,100,693
7,25,54,693
8,21,63,693
12,2,11,693
2,12,32,694
3,31,82,694
4,31,144,694
5,59,180,694
6,42,100,694
7,17,54,694
8,20,63,694
12,1,11,694
2,9,32,695
3,27,82,695
4,39,144,695
5,48,180,695
6,37,100,695
7,25,54,695
8,27,63,695
12,1,11,695
2,10,32,696
3,20,82,696
4,42,144,696
5,70,180,696
6,42,100,696
7,22,54,696
8,25,63,696
12,1,11,696
2,10,32,697
3,31,82,697
4,31,144,697
5,54,180,697
6,36,100,697
7,17,54,697
8,33,63,697
12,3,11,697
2,10,32,698
3,25,82,698
4,41,144,698
5,69,180,698
6,39,100,698
7,27,54,698
8,29,63,698
12,3,11,698
2,11,32,699
3,26,82,699
4,47,144,699
5,75,180,699
6,29,100,699
7,26,54,699
8,31,63,699
12,4,11,699
2,9,32,700
3,26,82,700
4,40,144,700
5,73,180,700
6,38,100,700
7,21,54,700
8,23,63,700
12,2,11,700
2,11,32,701
3,33,82,701
4,45,144,701
5,64,180,701
6,34,100,701
7,24,54,701
8,23,63,701
12,1,11,701
2,11,32,702
3,21,82,702
4,31,144,702
5,52,180,702
6,29,100,702
7,20,54,702
8,25,63,702
12,2,11,702
2,9,32,703
3,25,82,703
4,37,144,703
5,62,180,703
6,41,100,703
7,27,54,703
8,19,63,703
12,0,11,703
2,9,32,704
3,24,82,704
4,33,144,704
5,57,180,704
6,46,100,704
7,22,54,704
8,27,63,704
12,2,11,704
2,11,32,705
3,29,82,705
4,41,144,705
5,64,180,705
6,39,100,705
7,25,54,705
8,26,63,705
12,4,11,705
2,12,32,706
3,25,82,706
4,38,144,706
5,70,180,706
6,35,100,706
7,30,54,706
8,24,63,706
12,1,11,706
2,12,32,707
3,22,82,707
4,42,144,707
5,59,180,707
6,31,100,707
7,21,54,707
8,16,63,707
12,2,11,707
2,9,32,708
3,31,82,708
4,44,144,708
5,60,180,708
6,36,100,708
7,23,54,708
8,23,63,708
12,2,11,708
2,8,32,709
3,27,82,709
4,40,144,709
5,58,180,709
6,43,100,709
7,18,54,709
8,35,63,709
12,2,11,709
2,10,32,710
3,31,82,710
4,26,144,710
5,67,180,710
6,34,100,710
7,21,54,710
8,28,63,710
12,1,11,710
2,13,32,711
3,22,82,711
4,47,144,711
5,72,180,711
6,40,100,711
