iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2790.17 0.0002 0 0 0.2 0 0 0.5 0 0 0.2 0 0 0.6 0 0 0.3 0 0 1.5 0 0 0.8 0 0 0.3 0 0 0.6 0 0 0 0
10 -2170.64 0.000907322 10 5 0.350234 10 1 0.350399 10 1 0.515783 10 3 0.210949 10 4 0.864592 10 2 1.42359 10 1 0.8 10 0 0.264123 10 3 0.6 0 0 4820 3767
20 -2173.57 0.00993312 10 5 0.31865 10 3 0.399646 10 4 0.515783 10 0 0.545123 10 6 0.472792 10 2 1.93564 10 2 0.70389 10 1 0.196375 10 3 0.6 0 0 4820 3843
30 -2204.38 0.0145559 10 2 0.33697 10 1 0.622876 10 3 0.515783 10 0 0.291239 10 5 0.533196 10 1 1.6507 10 3 0.716664 10 2 0.085606 10 6 0.6 0 0 4820 4012
40 -2169.79 0.016644 10 4 0.305713 10 1 0.634436 10 3 0.290462 10 3 0.150687 10 3 0.202166 10 5 1.38499 10 2 0.388703 10 2 0.096651 10 6 0.6 0 0 4820 4123
50 -2188.43 0.0119109 10 3 0.629682 10 3 0.620357 10 1 0.278272 10 3 0.190445 10 2 0.204362 10 1 0.627517 10 3 0.3522 10 1 0.374706 10 5 0.6 0 0 4820 4039
60 -2151.66 0.0133342 10 2 0.605449 10 1 0.496109 10 1 0.278272 10 0 0.118736 10 1 0.204362 10 0 0.68588 10 1 0.335478 10 1 0.181366 10 2 0.6 0 0 4820 4004
70 -2155.28 0.0135404 10 2 0.624453 10 2 0.413622 10 1 0.372875 10 2 0.143881 10 2 0.220048 10 3 0.824597 10 2 0.298182 10 1 0.769229 10 6 0.6 0 0 4820 4050
80 -2200.4 0.0120921 10 1 0.470999 10 2 0.697897 10 3 0.397736 10 2 0.221989 10 3 0.155178 10 3 0.824597 10 0 0.527526 10 2 0.270804 10 5 0.6 0 0 4820 4062
90 -2176.95 0.0129915 10 4 0.470999 10 0 0.822274 10 1 0.336654 10 1 0.199543 10 2 0.266119 10 4 1.08699 10 1 0.527526 10 0 0.436586 10 2 0.6 0 0 4820 4057
100 -2196.73 0.0133961 10 4 0.470999 10 0 0.525561 10 5 0.491491 10 4 0.1421 10 4 0.189863 10 2 0.816979 10 2 0.169781 10 2 0.102019 10 3 0.6 0 0 4820 4059
110 -2141.64 0.0149739 10 1 0.545928 10 1 0.439713 10 2 0.349981 10 1 0.231837 10 5 0.129039 10 3 0.816979 10 0 0.340603 10 1 0.0744417 10 5 0.6 0 0 4820 4116
120 -2168.96 0.012664 10 2 0.662669 10 3 0.242159 10 5 0.346131 10 2 0.158813 10 4 0.160159 10 4 0.87827 10 2 0.276705 10 4 0.540693 10 6 0.6 0 0 4820 3969
130 -2128.08 0.012664 10 0 0.662669 10 0 0.475683 10 1 0.129324 10 6 0.255792 10 5 0.222493 10 1 0.87827 10 0 0.1173 10 3 0.176835 10 4 0.6 0 0 4820 3992
140 -2144.7 0.0131556 10 3 0.533797 10 3 0.645148 10 1 0.475363 10 2 0.15726 10 5 0.220278 10 3 0.87827 10 0 0.397575 10 2 0.356807 10 5 0.6 0 0 4820 4040
150 -2152.51 0.0120635 10 3 0.61859 10 2 0.756553 10 2 0.177467 10 2 0.25612 10 4 0.169068 10 4 0.679282 10 2 0.177399 10 2 0.626609 10 5 0.6 0 0 4820 3976
