iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -21074.4 0.548612 0 0 3.63965 0 0 -1.51893 0 0 2.36357 0 0 0.809117 0 0 4.4017 0 0 2.35771 0 0 2.85415 0 0 2.32525 0 0 0.6 0 0 0 0
40 -2163.32 0.020451 40 10 0.451952 40 21 0.461657 40 20 0.632211 40 14 0.162932 40 14 0.221276 40 10 1.13318 40 12 0.3076 40 11 0.508313 40 13 0.6 0 0 19360 15166
80 -2121.51 0.0123877 40 7 1.08894 40 11 0.884833 40 13 0.150163 40 8 0.0150105 40 11 0.109253 40 9 0.543527 40 5 0.168139 40 11 0.0728331 40 15 0.6 0 0 19360 16066
120 -2092.18 0.0126459 40 8 1.19732 40 5 0.81141 40 10 0.147544 40 6 0.0347983 40 10 0.131147 40 4 0.466373 40 4 0.0728236 40 9 0.103963 40 13 0.6 0 0 19360 15769
160 -2113.58 0.0124787 40 3 1.04557 40 3 0.256272 40 9 0.171095 40 3 0.0533408 40 8 0.144324 40 8 0.417068 40 8 0.247686 40 11 0.243559 40 11 0.6 0 0 19360 15875
200 -2127.59 0.00845447 40 6 1.15626 40 5 0.466802 40 9 0.212843 40 9 0.0822575 40 15 0.171463 40 11 0.495325 40 8 0.189289 40 8 0.12134 40 7 0.6 0 0 19360 15639
240 -2124.28 0.0107397 40 6 1.07947 40 9 0.852114 40 11 0.244711 40 8 0.0486347 40 9 0.139641 40 6 0.349566 40 7 0.180721 40 2 0.583086 40 17 0.6 0 0 19360 15486
280 -2137.83 0.012443 40 8 1.76018 40 11 1.18863 40 5 0.118187 40 7 0.0245458 40 10 0.087029 40 11 0.290666 40 9 0.187579 40 10 0.171255 40 12 0.6 0 0 19360 15584
320 -2097.33 0.0117255 40 9 1.28017 40 5 0.72955 40 4 0.184643 40 9 0.0410088 40 14 0.0623394 40 9 0.381654 40 5 0.164349 40 11 0.429162 40 14 0.6 0 0 19360 15623
360 -2097.89 0.0115377 40 7 1.30534 40 4 0.655808 40 9 0.167205 40 10 0.0549951 40 14 0.0723471 40 9 0.386925 40 6 0.135042 40 7 0.23381 40 6 0.6 0 0 19360 15593
400 -2101.26 0.0106658 40 6 1.25993 40 8 0.710771 40 7 0.147027 40 11 0.0257029 40 8 0.108854 40 9 0.482921 40 6 0.172049 40 12 0.161141 40 8 0.6 0 0 19360 15765
440 -2094.95 0.013745 40 8 1.17674 40 10 0.783669 40 7 0.251458 40 10 0.0692834 40 12 0.121194 40 8 0.51721 40 5 0.112164 40 9 0.549541 40 8 0.6 0 0 19360 15775
480 -2151.97 0.01052 40 2 1.06198 40 6 0.271814 40 10 0.0594425 40 8 0.0459646 40 8 0.100806 40 16 0.42238 40 6 0.107271 40 8 0.369002 40 8 0.6 0 0 19360 15899
520 -2099.62 0.00861006 40 9 1.3589 40 7 0.55643 40 5 0.230648 40 10 0.0249783 40 16 0.124609 40 6 0.314301 40 5 0.109568 40 11 0.221602 40 8 0.6 0 0 19360 15695
560 -2133.21 0.014509 40 7 1.46965 40 6 0.946959 40 9 0.0851671 40 5 0.0311486 40 13 0.100197 40 4 0.266933 40 7 0.106646 40 15 0.333941 40 10 0.6 0 0 19360 15944
600 -2087.46 0.00973378 40 8 1.11347 40 7 0.648183 40 7 0.175164 40 9 0.0650465 40 14 0.113971 40 7 0.506558 40 5 0.242789 40 9 0.0827335 40 11 0.6 0 0 19360 15747
640 -2116.12 0.0130406 40 7 1.26205 40 10 0.813036 40 6 0.22236 40 10 0.0311988 40 8 0.102279 40 7 0.323189 40 6 0.118672 40 8 0.230477 40 10 0.6 0 0 19360 15607
680 -2118.05 0.0105166 40 8 1.18452 40 3 0.487858 40 10 0.153021 40 11 0.0941532 40 19 0.150132 40 8 0.347055 40 7 0.0935066 40 5 0.40694 40 13 0.6 0 0 19360 15739
720 -2133.79 0.0122912 40 13 1.21713 40 7 0.401213 40 11 0.301758 40 7 0.0457294 40 6 0.127719 40 7 0.466054 40 8 0.172973 40 9 0.350037 40 5 0.6 0 0 19360 15558
760 -2102.22 0.0116664 40 9 0.827268 40 10 0.416607 40 9 0.312501 40 15 0.0654509 40 13 0.148371 40 13 0.534967 40 3 0.318092 40 9 0.116653 40 11 0.6 0 0 19360 15940
800 -2117.73 0.0151767 40 3 1.00424 40 7 0.530221 40 10 0.134297 40 7 0.0465568 40 8 0.160263 40 7 0.534967 40 0 0.103988 40 10 0.170331 40 11 0.6 0 0 19360 15785
840 -2126.82 0.00850961 40 10 1.27382 40 4 0.469837 40 7 0.181041 40 7 0.0726569 40 15 0.175396 40 11 0.354566 40 4 0.159102 40 12 0.331826 40 6 0.6 0 0 19360 15669
