iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
1120 -2106.92 0.0130009 40 8 0.962441 40 5 0.784835 40 16 0.129396 40 10 0.0661384 40 9 0.144898 40 5 0.590311 40 5 0.188861 40 12 0.538214 40 13 0.6 0 0 19360 15783
1160 -2144.87 0.0153534 40 9 0.928641 40 6 0.4183 40 14 0.139347 40 9 0.0383326 40 11 0.0558745 40 8 0.427408 40 5 0.104207 40 11 0.764608 40 14 0.6 0 0 19360 15762
1200 -2137.57 0.0111745 40 2 1.17559 40 7 0.928623 40 13 0.281416 40 7 0.0569297 40 17 0.1087 40 11 0.58757 40 4 0.202006 40 7 0.155851 40 8 0.6 0 0 19360 15902
1240 -2135.93 0.0119749 40 6 0.94276 40 9 0.507642 40 11 0.186482 40 11 0.0349828 40 13 0.170432 40 11 0.64323 40 4 0.117917 40 8 0.163077 40 8 0.6 0 0 19360 15861
1280 -2119.04 0.00881689 40 7 1.19184 40 9 0.763712 40 12 0.245842 40 7 0.0467204 40 11 0.15182 40 15 0.685645 40 4 0.211564 40 7 0.404311 40 5 0.6 0 0 19360 15622
1320 -2119.18 0.0140848 40 7 1.21095 40 7 0.629532 40 10 0.223936 40 8 0.0594336 40 10 0.114779 40 6 0.459032 40 4 0.277763 40 6 0.35784 40 12 0.6 0 0 19360 15812
1360 -2169.25 0.0125393 40 10 1.01845 40 7 0.584792 40 12 0.13184 40 10 0.128687 40 9 0.0948643 40 4 0.62443 40 4 0.226153 40 14 0.274918 40 13 0.6 0 0 19360 15899
1400 -2137.14 0.0144128 40 10 0.888779 40 6 0.89926 40 12 0.30429 40 8 0.0896888 40 5 0.218843 40 12 0.661272 40 6 0.089363 40 8 0.852408 40 11 0.6 0 0 19360 15857
1440 -2132.1 0.00922619 40 9 1.12033 40 7 0.465036 40 10 0.154859 40 15 0.0778247 40 7 0.241697 40 9 0.561171 40 12 0.177891 40 10 0.402055 40 16 0.6 0 0 19360 15731
1480 -2111.75 0.0153956 40 8 0.851092 40 6 0.557407 40 7 0.226834 40 8 0.0702964 40 7 0.0767986 40 8 0.609547 40 5 0.206808 40 12 0.347923 40 11 0.6 0 0 19360 15739
1520 -2113.69 0.0153425 40 11 1.17038 40 11 0.752811 40 5 0.12647 40 9 0.0277975 40 11 0.166591 40 10 0.372145 40 7 0.126671 40 11 0.149796 40 9 0.6 0 0 19360 15850
1560 -2171.28 0.0112399 40 4 1.13928 40 5 0.756238 40 6 0.136772 40 11 0.0616448 40 9 0.121998 40 11 0.473937 40 6 0.165214 40 12 0.274095 40 13 0.6 0 0 19360 15853
1600 -2108.02 0.00839602 40 7 1.01454 40 6 0.488222 40 9 0.2121 40 7 0.054539 40 13 0.177413 40 9 0.458587 40 8 0.113749 40 8 0.439254 40 5 0.6 0 0 19360 15828
1640 -2109.76 0.00793162 40 9 1.18345 40 9 0.512511 40 6 0.178354 40 8 0.0481488 40 10 0.116673 40 8 0.494434 40 8 0.216194 40 8 0.312586 40 11 0.6 0 0 19360 15604
1680 -2135.27 0.00977971 40 6 1.45643 40 7 0.775631 40 11 0.134784 40 15 0.0536975 40 7 0.0986234 40 6 0.267182 40 5 0.152851 40 7 0.604056 40 9 0.6 0 0 19360 15603
1720 -2125.74 0.0119305 40 3 1.04945 40 6 0.604234 40 4 0.159973 40 9 0.0560963 40 10 0.0718368 40 13 0.561006 40 2 0.16701 40 9 0.717448 40 15 0.6 0 0 19360 15696
1760 -2142.78 0.0122359 40 7 1.06337 40 7 0.618236 40 9 0.104406 40 10 0.0179771 40 4 0.169213 40 10 0.446884 40 6 0.0837734 40 8 0.194733 40 9 0.6 0 0 19360 15720
1800 -2097.67 0.0144405 40 5 0.967832 40 6 0.640851 40 7 0.16588 40 7 0.0878267 40 13 0.150947 40 11 0.498351 40 7 0.20091 40 12 0.301812 40 14 0.6 0 0 19360 15727
1840 -2125.33 0.0126446 40 6 0.897451 40 6 0.476169 40 10 0.173969 40 8 0.0477041 40 11 0.119916 40 8 0.564908 40 9 0.169077 40 12 0.399691 40 8 0.6 0 0 19360 16013
1880 -2098.6 0.0156503 40 10 1.18357 40 8 1.10486 40 7 0.243854 40 10 0.0475191 40 9 0.125256 40 12 0.368426 40 9 0.259271 40 2 0.233606 40 8 0.6 0 0 19360 15856
1920 -2128.47 0.0104434 40 8 1.42245 40 5 0.867812 40 8 0.183596 40 10 0.0911897 40 11 0.100595 40 10 0.33449 40 5 0.273335 40 12 0.243405 40 7 0.6 0 0 19360 15636
1960 -2075.5 0.00887138 40 10 1.28071 40 9 0.524187 40 7 0.159866 40 8 0.0292054 40 9 0.109408 40 12 0.430394 40 8 0.179456 40 11 0.236271 40 6 0.6 0 0 19360 15758
2000 -2111.01 0.0162692 40 9 1.51225 40 5 1.08076 40 7 0.149016 40 11 0.035902 40 13 0.0573547 40 13 0.299657 40 8 0.0597299 40 8 0.0720761 40 11 0.6 0 0 19360 15835
2040 -2120.02 0.0102645 40 7 1.19462 40 4 0.747157 40 7 0.199166 40 8 0.0169372 40 15 0.119277 40 14 0.468807 40 4 0.134208 40 10 0.788361 40 9 0.6 0 0 19360 15766
2080 -2150.98 0.0118565 40 8 0.734939 40 8 0.458119 40 10 0.461173 40 10 0.0708845 40 11 0.243188 40 7 0.743432 40 7 0.167021 40 8 0.14218 40 13 0.6 0 0 19360 15995
2120 -2127.56 0.014365 40 5 0.897026 40 13 0.763935 40 8 0.108796 40 10 0.075994 40 7 0.164038 40 13 0.49482 40 8 0.264519 40 10 0.234113 40 10 0.6 0 0 19360 15978
2160 -2116.4 0.0111681 40 12 0.907009 40 5 0.430295 40 8 0.229759 40 10 0.0657539 40 9 0.133425 40 8 0.41835 40 9 0.203967 40 5 0.784126 40 15 0.6 0 0 19360 15651
2200 -2101.03 0.012199 40 7 1.09126 40 9 0.670779 40 8 0.102446 40 14 0.0468102 40 10 0.149584 40 11 0.391679 40 6 0.220775 40 7 0.163602 40 13 0.6 0 0 19360 15912
2240 -2135.22 0.0122609 40 7 1.16878 40 5 0.62989 40 7 0.28024 40 12 0.062416 40 8 0.124359 40 8 0.548436 40 7 0.154817 40 9 0.222461 40 9 0.6 0 0 19360 15798
2280 -2132.78 0.0130138 40 8 1.24379 40 8 0.564003 40 7 0.158351 40 10 0.0284807 40 13 0.107537 40 10 0.403694 40 6 0.134253 40 10 0.203754 40 11 0.6 0 0 19360 15790
2320 -2135.3 0.0119358 40 5 1.73666 40 7 0.824369 40 9 0.162632 40 7 0.0211784 40 14 0.0585004 40 12 0.274206 40 7 0.147051 40 8 0.467821 40 4 0.6 0 0 19360 15741
2360 -2122.19 0.0118886 40 10 1.21042 40 9 0.517569 40 9 0.259786 40 8 0.078007 40 4 0.115634 40 9 0.445207 40 4 0.178757 40 8 0.484236 40 11 0.6 0 0 19360 15510
2400 -2143.78 0.015416 40 6 0.981878 40 9 0.512279 40 8 0.145481 40 6 0.0907988 40 12 0.112873 40 9 0.526683 40 10 0.20729 40 12 0.156357 40 10 0.6 0 0 19360 15980
2440 -2132.54 0.0154802 40 9 0.901002 40 3 0.886215 40 8 0.203076 40 9 0.087323 40 9 0.16016 40 6 0.59947 40 6 0.198967 40 4 0.216274 40 10 0.6 0 0 19360 15767
2480 -2144.51 0.0110145 40 10 1.10481 40 11 0.453821 40 10 0.349076 40 7 0.0416961 40 14 0.117498 40 5 0.429199 40 3 0.261874 40 3 0.43912 40 9 0.6 0 0 19360 15993
2520 -2081.51 0.00821116 40 12 1.17247 40 5 0.315528 40 10 0.206092 40 12 0.0464432 40 6 0.108627 40 11 0.455272 40 4 0.237687 40 11 0.370517 40 17 0.6 0 0 19360 15706
2560 -2110.48 0.0152367 40 11 1.07615 40 3 0.723539 40 9 0.0930551 40 14 0.0719487 40 6 0.155071 40 7 0.575429 40 7 0.16923 40 12 0.258912 40 12 0.6 0 0 19360 15563
2600 -2140.26 0.0124979 40 12 1.01972 40 2 0.505575 40 8 0.123039 40 9 0.0902676 40 14 0.184175 40 16 0.587927 40 2 0.14629 40 12 0.315354 40 11 0.6 0 0 19360 15782
2640 -2135.81 0.0128129 40 10 0.858613 40 7 0.703756 40 9 0.143095 40 7 0.11052 40 6 0.161073 40 10 0.437759 40 6 0.234006 40 10 0.167267 40 8 0.6 0 0 19360 15801
2680 -2104.03 0.0125314 40 9 1.46958 40 12 0.807638 40 13 0.252123 40 11 0.0472734 40 11 0.0924238 40 10 0.395488 40 5 0.125525 40 14 0.133632 40 12 0.6 0 0 19360 15794
2720 -2081.88 0.0120798 40 9 1.49349 40 8 0.702763 40 14 0.10757 40 8 0.0303211 40 10 0.0629131 40 10 0.451034 40 6 0.080615 40 10 0.0996292 40 11 0.6 0 0 19360 15757
2760 -2119.91 0.0117376 40 10 1.25665 40 7 0.791758 40 6 0.121959 40 10 0.0485621 40 13 0.123048 40 11 0.43593 40 5 0.131597 40 9 0.29901 40 10 0.6 0 0 19360 15686
2800 -2107.51 0.0102589 40 8 1.27147 40 3 0.48786 40 9 0.17667 40 12 0.0436204 40 14 0.11239 40 7 0.469326 40 6 0.1667 40 8 0.514318 40 15 0.6 0 0 19360 15768
2840 -2125.24 0.0140269 40 4 1.12535 40 5 0.697732 40 7 0.173481 40 8 0.0325965 40 9 0.142899 40 7 0.449633 40 11 0.195899 40 9 0.0834044 40 10 0.6 0 0 19360 15802
2880 -2113.06 0.00989268 40 3 1.06891 40 10 0.464315 40 8 0.24695 40 7 0.0849427 40 12 0.150538 40 8 0.515266 40 4 0.151675 40 8 0.48906 40 17 0.6 0 0 19360 15622
2920 -2125.16 0.0115748 40 10 0.983135 40 9 0.432448 40 7 0.231612 40 8 0.0610584 40 10 0.144631 40 10 0.430022 40 7 0.289328 40 7 0.542958 40 10 0.6 0 0 19360 15590
2960 -2085.81 0.0117934 40 7 1.36236 40 9 0.42452 40 8 0.109742 40 11 0.0241149 40 14 0.0899955 40 9 0.372774 40 1 0.161848 40 10 0.327556 40 4 0.6 0 0 19360 15713
3000 -2096.44 0.0119659 40 7 1.20021 40 9 0.523587 40 9 0.111445 40 12 0.06984 40 8 0.150742 40 12 0.431526 40 9 0.109064 40 5 0.24984 40 9 0.6 0 0 19360 15807
3040 -2119.02 0.0134955 40 7 1.40559 40 8 0.492968 40 7 0.162103 40 5 0.0300381 40 16 0.0911267 40 8 0.364843 40 7 0.153354 40 11 0.302429 40 4 0.6 0 0 19360 15645
3080 -2089.47 0.00836019 40 9 1.16358 40 12 0.829386 40 13 0.165143 40 12 0.165644 40 14 0.126774 40 10 0.61849 40 9 0.14702 40 11 0.23574 40 4 0.6 0 0 19360 15723
3120 -2131.99 0.0148097 40 8 1.03504 40 8 0.892404 40 9 0.0371032 40 8 0.0447733 40 9 0.087357 40 16 0.42706 40 2 0.226016 40 8 0.437754 40 11 0.6 0 0 19360 15694
3160 -2088.86 0.0126777 40 7 1.0859 40 9 0.708077 40 9 0.37887 40 10 0.0631716 40 12 0.0890387 40 8 0.454184 40 9 0.145912 40 3 0.705762 40 4 0.6 0 0 19360 15874
3200 -2106.6 0.0106598 40 4 1.20123 40 7 0.451478 40 8 0.158674 40 6 0.0463736 40 8 0.128276 40 8 0.367274 40 3 0.206637 40 4 0.377746 40 11 0.6 0 0 19360 15678
3240 -2126.66 0.0130304 40 14 1.51477 40 5 0.798105 40 11 0.161237 40 13 0.0463695 40 8 0.0790976 40 6 0.290279 40 7 0.172026 40 7 0.277508 40 11 0.6 0 0 19360 15722
3280 -2109.45 0.0123791 40 2 1.17533 40 7 0.750615 40 11 0.207218 40 10 0.0382496 40 5 0.153651 40 7 0.351451 40 6 0.187423 40 11 0.620622 40 18 0.6 0 0 19360 15652
3320 -2111.98 0.0140738 40 11 1.10896 40 6 0.477163 40 6 0.270376 40 6 0.050359 40 9 0.135964 40 7 0.544707 40 3 0.129511 40 7 0.14423 40 14 0.6 0 0 19360 15538
3360 -2129.42 0.0132754 40 9 0.957933 40 10 0.636734 40 7 0.443462 40 9 0.0708143 40 8 0.119136 40 7 0.462101 40 3 0.151548 40 11 0.210685 40 9 0.6 0 0 19360 15941
3400 -2124.18 0.0121883 40 12 1.05634 40 6 0.568595 40 7 0.328448 40 10 0.103423 40 11 0.117612 40 8 0.324791 40 8 0.16354 40 12 0.0721703 40 18 0.6 0 0 19360 15771
3440 -2119.64 0.0134321 40 11 1.16993 40 5 0.532097 40 9 0.090176 40 7 0.0745423 40 9 0.103152 40 6 0.346759 40 7 0.158701 40 10 0.226529 40 10 0.6 0 0 19360 15642
3480 -2112.7 0.00951979 40 2 1.24123 40 7 0.560087 40 6 0.0713767 40 14 0.117085 40 10 0.0988863 40 9 0.513036 40 6 0.150476 40 2 0.265891 40 8 0.6 0 0 19360 15680
3520 -2119.27 0.013766 40 9 0.93848 40 4 0.501469 40 4 0.216535 40 11 0.0627461 40 9 0.0704237 40 7 0.515923 40 6 0.205676 40 10 0.286123 40 11 0.6 0 0 19360 15818
3560 -2119.68 0.0132206 40 6 1.12239 40 5 0.329375 40 7 0.181742 40 9 0.0475651 40 14 0.0664414 40 12 0.466582 40 10 0.228324 40 8 0.388137 40 10 0.6 0 0 19360 15998
3600 -2122.85 0.015184 40 3 1.10669 40 6 1.0443 40 10 0.176348 40 6 0.0384425 40 10 0.132025 40 10 0.539339 40 8 0.152213 40 7 0.416072 40 12 0.6 0 0 19360 15832
3640 -2091.66 0.00969917 40 8 1.34467 40 2 0.661067 40 10 0.0826648 40 13 0.0504742 40 10 0.0919683 40 5 0.392781 40 6 0.192379 40 10 0.39478 40 14 0.6 0 0 19360 15761
3680 -2121.67 0.0126393 40 3 1.2502 40 8 0.861777 40 10 0.168226 40 12 0.0583262 40 8 0.132316 40 7 0.550994 40 7 0.196975 40 6 0.421575 40 8 0.6 0 0 19360 15592
3720 -2113.56 0.011586 40 7 0.98378 40 4 0.713221 40 5 0.189566 40 8 0.0471906 40 9 0.101391 40 9 0.427437 40 9 0.22324 40 12 0.403796 40 10 0.6 0 0 19360 15897
3760 -2122.26 0.0127339 40 4 1.10034 40 4 0.900228 40 6 0.109346 40 7 0.0745353 40 7 0.0901882 40 9 0.624394 40 7 0.203085 40 4 0.222367 40 10 0.6 0 0 19360 15660
3800 -2125.92 0.010653 40 9 1.4994 40 7 0.855315 40 12 0.113341 40 10 0.0777889 40 9 0.125413 40 8 0.375328 40 9 0.145878 40 3 0.188388 40 7 0.6 0 0 19360 15474
3840 -2102.93 0.0108033 40 11 1.36496 40 5 0.412003 40 9 0.184195 40 7 0.0240982 40 13 0.0869508 40 18 0.391061 40 4 0.174836 40 7 0.158724 40 10 0.6 0 0 19360 15565
3880 -2118.92 0.0128289 40 7 1.1458 40 8 0.778021 40 11 0.162505 40 12 0.0680399 40 12 0.110464 40 11 0.300087 40 6 0.191488 40 11 0.263755 40 9 0.6 0 0 19360 15778
3920 -2106.94 0.0102843 40 12 1.05965 40 8 0.0576997 40 7 0.234533 40 8 0.0827763 40 15 0.145863 40 10 0.363337 40 9 0.12251 40 10 0.476314 40 14 0.6 0 0 19360 15835
3960 -2115.34 0.0131597 40 9 1.25079 40 8 0.579267 40 9 0.0783238 40 8 0.0287978 40 8 0.09366 40 10 0.463455 40 7 0.136052 40 10 0.323889 40 7 0.6 0 0 19360 15854
4000 -2117.2 0.0123865 40 9 1.19934 40 6 1.26994 40 11 0.108377 40 6 0.0822715 40 7 0.102459 40 9 0.542387 40 7 0.178026 40 6 0.34283 40 4 0.6 0 0 19360 15595
4040 -2152.91 0.0102014 40 15 1.13696 40 5 0.477678 40 16 0.184685 40 10 0.0751338 40 17 0.125781 40 11 0.344793 40 3 0.130658 40 11 0.118477 40 15 0.6 0 0 19360 15599
